"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","299","invalid movie id - json & toEqual","chromium","Wed Feb 04 03:18:28 UTC 2026","passed","Wed Feb 04 03:18:28 UTC 2026","API Tests","","",""
"","6241","Github Secrets","webkit","Wed Feb 04 03:18:55 UTC 2026","passed","Wed Feb 04 03:19:02 UTC 2026","Github Environment Tests","","",""
"","5122","element screenshot","webkit","Wed Feb 04 03:18:58 UTC 2026","passed","Wed Feb 04 03:19:03 UTC 2026","Visual Test","","",""
"","10314","special key press","firefox","Wed Feb 04 03:18:45 UTC 2026","passed","Wed Feb 04 03:18:55 UTC 2026","Key Presses","","",""
"","433","fetch valid movie ","webkit","Wed Feb 04 03:18:53 UTC 2026","passed","Wed Feb 04 03:18:54 UTC 2026","API Tests","","",""
"","1","has title","webkit","Wed Feb 04 03:19:03 UTC 2026","skipped","Wed Feb 04 03:19:03 UTC 2026","Basic validations","","",""
"","273","status does not match","webkit","Wed Feb 04 03:18:56 UTC 2026","failed","Wed Feb 04 03:18:56 UTC 2026","API Tests - forced to fail","","",""
"","2","navigate to login page","chromium","Wed Feb 04 03:18:33 UTC 2026","skipped","Wed Feb 04 03:18:33 UTC 2026","Basic validations","","",""
"","0","has title","firefox","Wed Feb 04 03:18:50 UTC 2026","skipped","Wed Feb 04 03:18:50 UTC 2026","Basic validations","","",""
"","566","non matching key value pair - array & toContainEqual","firefox","Wed Feb 04 03:18:37 UTC 2026","failed","Wed Feb 04 03:18:37 UTC 2026","API Tests - forced to fail","","",""
"","264","status does not match","firefox","Wed Feb 04 03:18:35 UTC 2026","failed","Wed Feb 04 03:18:36 UTC 2026","API Tests - forced to fail","","",""
"","19008","element image does not match","firefox","Wed Feb 04 03:18:37 UTC 2026","failed","Wed Feb 04 03:18:56 UTC 2026","UI E2E Tests - forced to fail","","",""
"","9386","element image does not match","webkit","Wed Feb 04 03:18:56 UTC 2026","failed","Wed Feb 04 03:19:06 UTC 2026","UI E2E Tests - forced to fail","","",""
"","15048","page screenshot","firefox","Wed Feb 04 03:18:39 UTC 2026","passed","Wed Feb 04 03:18:54 UTC 2026","Visual Test","","",""
