"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","has title","firefox","Wed Feb 19 02:07:22 GMT 2025","skipped","Wed Feb 19 02:07:22 GMT 2025","Basic validations","","",""
"","16227","page screenshot","firefox","Wed Feb 19 02:07:11 GMT 2025","passed","Wed Feb 19 02:07:28 GMT 2025","Visual Test","","",""
"","545","non matching key value pair - array & toContainEqual","webkit","Wed Feb 19 02:07:26 GMT 2025","failed","Wed Feb 19 02:07:27 GMT 2025","API Tests - forced to fail","","",""
"","4393","Github Secrets","chromium","Wed Feb 19 02:07:02 GMT 2025","passed","Wed Feb 19 02:07:06 GMT 2025","Github Environment Tests","","",""
"","7307","Github Secrets","firefox","Wed Feb 19 02:07:10 GMT 2025","passed","Wed Feb 19 02:07:17 GMT 2025","Github Environment Tests","","",""
"","299","status does not match","webkit","Wed Feb 19 02:07:28 GMT 2025","failed","Wed Feb 19 02:07:28 GMT 2025","API Tests - forced to fail","","",""
"","3995","login - valid credentials","webkit","Wed Feb 19 02:07:34 GMT 2025","passed","Wed Feb 19 02:07:38 GMT 2025","Login","","",""
"","1","navigate to login page","webkit","Wed Feb 19 02:07:35 GMT 2025","skipped","Wed Feb 19 02:07:35 GMT 2025","Basic validations","","",""
"","427","key does not exist - json & toEqual","firefox","Wed Feb 19 02:07:10 GMT 2025","failed","Wed Feb 19 02:07:10 GMT 2025","API Tests - forced to fail","","",""
"","5830","element screenshot","webkit","Wed Feb 19 02:07:29 GMT 2025","passed","Wed Feb 19 02:07:35 GMT 2025","Visual Test","","",""
"","576","fetch valid movie ","firefox","Wed Feb 19 02:07:08 GMT 2025","passed","Wed Feb 19 02:07:08 GMT 2025","API Tests","","",""
"","4625","element screenshot","chromium","Wed Feb 19 02:07:01 GMT 2025","passed","Wed Feb 19 02:07:06 GMT 2025","Visual Test","","",""
"","189","key does not exist - json & toEqual","webkit","Wed Feb 19 02:07:25 GMT 2025","failed","Wed Feb 19 02:07:25 GMT 2025","API Tests - forced to fail","","",""
"","5526","special key press","webkit","Wed Feb 19 02:07:29 GMT 2025","passed","Wed Feb 19 02:07:35 GMT 2025","Key Presses","","",""
"","14774","text does not match","firefox","Wed Feb 19 02:07:08 GMT 2025","failed","Wed Feb 19 02:07:23 GMT 2025","UI E2E Tests - forced to fail","","",""
"","9682","text does not match","webkit","Wed Feb 19 02:07:27 GMT 2025","failed","Wed Feb 19 02:07:37 GMT 2025","UI E2E Tests - forced to fail","","",""
"","4774","common key press","firefox","Wed Feb 19 02:07:17 GMT 2025","passed","Wed Feb 19 02:07:22 GMT 2025","Key Presses","","",""
