"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17001","page image does not match","firefox","Wed May 27 05:04:23 UTC 2026","failed","Wed May 27 05:04:40 UTC 2026","UI E2E Tests - forced to fail","","",""
"","3","navigate to login page","chromium","Wed May 27 05:04:18 UTC 2026","skipped","Wed May 27 05:04:18 UTC 2026","Basic validations","","",""
"","5908","Github Secrets","chromium","Wed May 27 05:04:11 UTC 2026","passed","Wed May 27 05:04:17 UTC 2026","Github Environment Tests","","",""
"","7678","element screenshot","webkit","Wed May 27 05:04:41 UTC 2026","passed","Wed May 27 05:04:49 UTC 2026","Visual Test","","",""
"","374","non matching key value pair - array & toContainEqual","firefox","Wed May 27 05:04:22 UTC 2026","failed","Wed May 27 05:04:23 UTC 2026","API Tests - forced to fail","","",""
"","1","has title","firefox","Wed May 27 05:04:35 UTC 2026","skipped","Wed May 27 05:04:35 UTC 2026","Basic validations","","",""
"","1","navigate to login page","webkit","Wed May 27 05:04:49 UTC 2026","skipped","Wed May 27 05:04:49 UTC 2026","Basic validations","","",""
"","11466","element screenshot","firefox","Wed May 27 05:04:24 UTC 2026","passed","Wed May 27 05:04:35 UTC 2026","Visual Test","","",""
"","7617","element screenshot","chromium","Wed May 27 05:04:11 UTC 2026","passed","Wed May 27 05:04:19 UTC 2026","Visual Test","","",""
"","6469","special key press","chromium","Wed May 27 05:04:12 UTC 2026","passed","Wed May 27 05:04:18 UTC 2026","Key Presses","","",""
"","6315","login - valid credentials","firefox","Wed May 27 05:04:32 UTC 2026","passed","Wed May 27 05:04:38 UTC 2026","Login","","",""
"","4120","login - valid credentials","webkit","Wed May 27 05:04:48 UTC 2026","passed","Wed May 27 05:04:52 UTC 2026","Login","","",""
"","6647","special key press","webkit","Wed May 27 05:04:43 UTC 2026","passed","Wed May 27 05:04:49 UTC 2026","Key Presses","","",""
"","11504","element image does not match","chromium","Wed May 27 05:04:11 UTC 2026","failed","Wed May 27 05:04:23 UTC 2026","UI E2E Tests - forced to fail","","",""
"","10502","page image does not match","chromium","Wed May 27 05:04:11 UTC 2026","failed","Wed May 27 05:04:22 UTC 2026","UI E2E Tests - forced to fail","","",""
"","363","invalid movie id - array & toContainEqual","webkit","Wed May 27 05:04:39 UTC 2026","passed","Wed May 27 05:04:40 UTC 2026","API Tests","","",""
"","377","non matching key value pair - array & toContainEqual","webkit","Wed May 27 05:04:41 UTC 2026","failed","Wed May 27 05:04:42 UTC 2026","API Tests - forced to fail","","",""
"","8662","page image does not match","webkit","Wed May 27 05:04:43 UTC 2026","failed","Wed May 27 05:04:51 UTC 2026","UI E2E Tests - forced to fail","","",""
"","376","invalid movie id - array & toContainEqual","firefox","Wed May 27 05:04:21 UTC 2026","passed","Wed May 27 05:04:21 UTC 2026","API Tests","","",""
"","13182","page screenshot","chromium","Wed May 27 05:04:12 UTC 2026","passed","Wed May 27 05:04:25 UTC 2026","Visual Test","","",""
"","6770","Github Secrets","firefox","Wed May 27 05:04:22 UTC 2026","passed","Wed May 27 05:04:29 UTC 2026","Github Environment Tests","","",""
"","523","fetch valid movie ","chromium","Wed May 27 05:04:11 UTC 2026","passed","Wed May 27 05:04:11 UTC 2026","API Tests","","",""
"","428","invalid movie id - json & toEqual","chromium","Wed May 27 05:04:11 UTC 2026","passed","Wed May 27 05:04:11 UTC 2026","API Tests","","",""
"","256","key does not exist - json & toEqual","firefox","Wed May 27 05:04:21 UTC 2026","failed","Wed May 27 05:04:21 UTC 2026","API Tests - forced to fail","","",""
"","311","key does not exist - json & toEqual","webkit","Wed May 27 05:04:40 UTC 2026","failed","Wed May 27 05:04:40 UTC 2026","API Tests - forced to fail","","",""
