"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5161","Github Secrets","chromium","Sun Sep 14 02:17:25 UTC 2025","passed","Sun Sep 14 02:17:31 UTC 2025","Github Environment Tests","","",""
"","6103","login - valid credentials","firefox","Sun Sep 14 02:17:45 UTC 2025","passed","Sun Sep 14 02:17:51 UTC 2025","Login","","",""
"","1","has title","webkit","Sun Sep 14 02:18:01 UTC 2025","skipped","Sun Sep 14 02:18:01 UTC 2025","Basic validations","","",""
"","11459","element image does not match","chromium","Sun Sep 14 02:17:24 UTC 2025","failed","Sun Sep 14 02:17:36 UTC 2025","UI E2E Tests - forced to fail","","",""
"","231","non matching key value pair - array & toContainEqual","firefox","Sun Sep 14 02:17:33 UTC 2025","failed","Sun Sep 14 02:17:34 UTC 2025","API Tests - forced to fail","","",""
"","529","key does not exist - json & toEqual","chromium","Sun Sep 14 02:17:24 UTC 2025","failed","Sun Sep 14 02:17:25 UTC 2025","API Tests - forced to fail","","",""
"","369","invalid movie id - array & toContainEqual","chromium","Sun Sep 14 02:17:24 UTC 2025","passed","Sun Sep 14 02:17:25 UTC 2025","API Tests","","",""
"","6047","special key press","webkit","Sun Sep 14 02:17:56 UTC 2025","passed","Sun Sep 14 02:18:02 UTC 2025","Key Presses","","",""
"","6861","element screenshot","chromium","Sun Sep 14 02:17:25 UTC 2025","passed","Sun Sep 14 02:17:32 UTC 2025","Visual Test","","",""
"","225","key does not exist - json & toEqual","webkit","Sun Sep 14 02:17:52 UTC 2025","failed","Sun Sep 14 02:17:53 UTC 2025","API Tests - forced to fail","","",""
"","5","has title","firefox","Sun Sep 14 02:17:48 UTC 2025","skipped","Sun Sep 14 02:17:48 UTC 2025","Basic validations","","",""
"","296","fetch valid movie ","chromium","Sun Sep 14 02:17:24 UTC 2025","passed","Sun Sep 14 02:17:25 UTC 2025","API Tests","","",""
"","16386","page screenshot","firefox","Sun Sep 14 02:17:37 UTC 2025","passed","Sun Sep 14 02:17:53 UTC 2025","Visual Test","","",""
"","376","invalid movie id - array & toContainEqual","firefox","Sun Sep 14 02:17:33 UTC 2025","passed","Sun Sep 14 02:17:33 UTC 2025","API Tests","","",""
"","378","invalid movie id - json & toEqual","webkit","Sun Sep 14 02:17:52 UTC 2025","passed","Sun Sep 14 02:17:53 UTC 2025","API Tests","","",""
"","5950","Github Secrets","webkit","Sun Sep 14 02:17:54 UTC 2025","passed","Sun Sep 14 02:18:00 UTC 2025","Github Environment Tests","","",""
"","437","status does not match","webkit","Sun Sep 14 02:17:54 UTC 2025","failed","Sun Sep 14 02:17:55 UTC 2025","API Tests - forced to fail","","",""
"","10874","element image does not match","webkit","Sun Sep 14 02:17:53 UTC 2025","failed","Sun Sep 14 02:18:04 UTC 2025","UI E2E Tests - forced to fail","","",""
"","12004","page screenshot","webkit","Sun Sep 14 02:17:54 UTC 2025","passed","Sun Sep 14 02:18:06 UTC 2025","Visual Test","","",""
"","364","fetch valid movie ","firefox","Sun Sep 14 02:17:33 UTC 2025","passed","Sun Sep 14 02:17:33 UTC 2025","API Tests","","",""
"","8881","Github Secrets","firefox","Sun Sep 14 02:17:35 UTC 2025","passed","Sun Sep 14 02:17:44 UTC 2025","Github Environment Tests","","",""
"","211","status does not match","firefox","Sun Sep 14 02:17:33 UTC 2025","failed","Sun Sep 14 02:17:34 UTC 2025","API Tests - forced to fail","","",""
"","354","non matching key value pair - array & toContainEqual","webkit","Sun Sep 14 02:17:53 UTC 2025","failed","Sun Sep 14 02:17:53 UTC 2025","API Tests - forced to fail","","",""
"","4798","Github Variables","webkit","Sun Sep 14 02:17:56 UTC 2025","passed","Sun Sep 14 02:18:01 UTC 2025","Github Environment Tests","","",""
"","12553","special key press","firefox","Sun Sep 14 02:17:40 UTC 2025","passed","Sun Sep 14 02:17:53 UTC 2025","Key Presses","","",""
"","440","invalid movie id - json & toEqual","firefox","Sun Sep 14 02:17:34 UTC 2025","passed","Sun Sep 14 02:17:35 UTC 2025","API Tests","","",""
"","6150","special key press","chromium","Sun Sep 14 02:17:25 UTC 2025","passed","Sun Sep 14 02:17:32 UTC 2025","Key Presses","","",""
"","9882","page image does not match","chromium","Sun Sep 14 02:17:25 UTC 2025","failed","Sun Sep 14 02:17:34 UTC 2025","UI E2E Tests - forced to fail","","",""
"","15700","text does not match","firefox","Sun Sep 14 02:17:35 UTC 2025","failed","Sun Sep 14 02:17:51 UTC 2025","UI E2E Tests - forced to fail","","",""
"","11131","element screenshot","firefox","Sun Sep 14 02:17:37 UTC 2025","passed","Sun Sep 14 02:17:48 UTC 2025","Visual Test","","",""
"","6294","element screenshot","webkit","Sun Sep 14 02:17:54 UTC 2025","passed","Sun Sep 14 02:18:01 UTC 2025","Visual Test","","",""
"","0","navigate to login page","webkit","Sun Sep 14 02:18:01 UTC 2025","skipped","Sun Sep 14 02:18:01 UTC 2025","Basic validations","","",""
"","421","key does not exist - json & toEqual","firefox","Sun Sep 14 02:17:35 UTC 2025","failed","Sun Sep 14 02:17:35 UTC 2025","API Tests - forced to fail","","",""
"","3548","login - valid credentials","webkit","Sun Sep 14 02:18:01 UTC 2025","passed","Sun Sep 14 02:18:04 UTC 2025","Login","","",""
"","355","invalid movie id - array & toContainEqual","webkit","Sun Sep 14 02:17:54 UTC 2025","passed","Sun Sep 14 02:17:54 UTC 2025","API Tests","","",""
"","8559","Github Variables","firefox","Sun Sep 14 02:17:36 UTC 2025","passed","Sun Sep 14 02:17:45 UTC 2025","Github Environment Tests","","",""
"","1","navigate to login page","chromium","Sun Sep 14 02:17:32 UTC 2025","skipped","Sun Sep 14 02:17:32 UTC 2025","Basic validations","","",""
"","388","fetch valid movie ","webkit","Sun Sep 14 02:17:52 UTC 2025","passed","Sun Sep 14 02:17:52 UTC 2025","API Tests","","",""
"","9705","page image does not match","webkit","Sun Sep 14 02:17:54 UTC 2025","failed","Sun Sep 14 02:18:03 UTC 2025","UI E2E Tests - forced to fail","","",""
"","495","non matching key value pair - array & toContainEqual","chromium","Sun Sep 14 02:17:24 UTC 2025","failed","Sun Sep 14 02:17:25 UTC 2025","API Tests - forced to fail","","",""
"","15764","page image does not match","firefox","Sun Sep 14 02:17:36 UTC 2025","failed","Sun Sep 14 02:17:52 UTC 2025","UI E2E Tests - forced to fail","","",""
"","2917","login - valid credentials","chromium","Sun Sep 14 02:17:31 UTC 2025","passed","Sun Sep 14 02:17:34 UTC 2025","Login","","",""
"","5688","common key press","firefox","Sun Sep 14 02:17:44 UTC 2025","passed","Sun Sep 14 02:17:50 UTC 2025","Key Presses","","",""
"","3898","common key press","webkit","Sun Sep 14 02:18:00 UTC 2025","passed","Sun Sep 14 02:18:04 UTC 2025","Key Presses","","",""
"","595","status does not match","chromium","Sun Sep 14 02:17:24 UTC 2025","failed","Sun Sep 14 02:17:25 UTC 2025","API Tests - forced to fail","","",""
"","10809","text does not match","chromium","Sun Sep 14 02:17:24 UTC 2025","failed","Sun Sep 14 02:17:35 UTC 2025","UI E2E Tests - forced to fail","","",""
"","2642","common key press","chromium","Sun Sep 14 02:17:31 UTC 2025","passed","Sun Sep 14 02:17:33 UTC 2025","Key Presses","","",""
"","7838","text does not match","webkit","Sun Sep 14 02:17:55 UTC 2025","failed","Sun Sep 14 02:18:03 UTC 2025","UI E2E Tests - forced to fail","","",""
"","6000","Github Variables","chromium","Sun Sep 14 02:17:25 UTC 2025","passed","Sun Sep 14 02:17:31 UTC 2025","Github Environment Tests","","",""
"","13055","page screenshot","chromium","Sun Sep 14 02:17:25 UTC 2025","passed","Sun Sep 14 02:17:38 UTC 2025","Visual Test","","",""
"","0","has title","chromium","Sun Sep 14 02:17:32 UTC 2025","skipped","Sun Sep 14 02:17:32 UTC 2025","Basic validations","","",""
"","348","invalid movie id - json & toEqual","chromium","Sun Sep 14 02:17:24 UTC 2025","passed","Sun Sep 14 02:17:25 UTC 2025","API Tests","","",""
"","18469","element image does not match","firefox","Sun Sep 14 02:17:35 UTC 2025","failed","Sun Sep 14 02:17:53 UTC 2025","UI E2E Tests - forced to fail","","",""
"","2","navigate to login page","firefox","Sun Sep 14 02:17:48 UTC 2025","skipped","Sun Sep 14 02:17:48 UTC 2025","Basic validations","","",""
