"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9889","Github Variables","firefox","2026-07-01","passed","2026-07-01","Github Environment Tests","","",""
"","12252","special key press","firefox","2026-07-01","passed","2026-07-01","Key Presses","","",""
"","6862","common key press","firefox","2026-07-01","passed","2026-07-01","Key Presses","","",""
"","395","fetch valid movie ","chromium","2026-07-01","passed","2026-07-01","API Tests","","",""
"","417","status does not match","chromium","2026-07-01","failed","2026-07-01","API Tests - forced to fail","","",""
"","5503","login - valid credentials","firefox","2026-07-01","passed","2026-07-01","Login","","",""
"","8610","text does not match","chromium","2026-07-01","failed","2026-07-01","UI E2E Tests - forced to fail","","",""
"","337","status does not match","firefox","2026-07-01","failed","2026-07-01","API Tests - forced to fail","","",""
"","422","key does not exist - json & toEqual","chromium","2026-07-01","failed","2026-07-01","API Tests - forced to fail","","",""
"","476","fetch valid movie ","webkit","2026-07-01","passed","2026-07-01","API Tests","","",""
"","9237","page image does not match","webkit","2026-07-01","failed","2026-07-01","UI E2E Tests - forced to fail","","",""
"","6492","special key press","webkit","2026-07-01","passed","2026-07-01","Key Presses","","",""
"","11113","element image does not match","webkit","2026-07-01","failed","2026-07-01","UI E2E Tests - forced to fail","","",""
"","1","has title","firefox","2026-07-01","skipped","2026-07-01","Basic validations","","",""
"","391","key does not exist - json & toEqual","firefox","2026-07-01","failed","2026-07-01","API Tests - forced to fail","","",""
"","6330","Github Secrets","webkit","2026-07-01","passed","2026-07-01","Github Environment Tests","","",""
"","427","fetch valid movie ","firefox","2026-07-01","passed","2026-07-01","API Tests","","",""
"","619","invalid movie id - array & toContainEqual","chromium","2026-07-01","passed","2026-07-01","API Tests","","",""
"","286","status does not match","webkit","2026-07-01","failed","2026-07-01","API Tests - forced to fail","","",""
"","483","non matching key value pair - array & toContainEqual","firefox","2026-07-01","failed","2026-07-01","API Tests - forced to fail","","",""
"","18142","page image does not match","firefox","2026-07-01","failed","2026-07-01","UI E2E Tests - forced to fail","","",""
"","4265","Github Variables","webkit","2026-07-01","passed","2026-07-01","Github Environment Tests","","",""
"","15113","page screenshot","firefox","2026-07-01","passed","2026-07-01","Visual Test","","",""
"","4140","common key press","webkit","2026-07-01","passed","2026-07-01","Key Presses","","",""
"","3492","login - valid credentials","chromium","2026-07-01","passed","2026-07-01","Login","","",""
"","6805","element screenshot","webkit","2026-07-01","passed","2026-07-01","Visual Test","","",""
"","12560","page screenshot","webkit","2026-07-01","passed","2026-07-01","Visual Test","","",""
"","13484","text does not match","firefox","2026-07-01","failed","2026-07-01","UI E2E Tests - forced to fail","","",""
"","8715","text does not match","webkit","2026-07-01","failed","2026-07-01","UI E2E Tests - forced to fail","","",""
"","0","has title","chromium","2026-07-01","skipped","2026-07-01","Basic validations","","",""
"","396","invalid movie id - json & toEqual","chromium","2026-07-01","passed","2026-07-01","API Tests","","",""
"","12749","element screenshot","firefox","2026-07-01","passed","2026-07-01","Visual Test","","",""
"","273","non matching key value pair - array & toContainEqual","chromium","2026-07-01","failed","2026-07-01","API Tests - forced to fail","","",""
"","14259","page screenshot","chromium","2026-07-01","passed","2026-07-01","Visual Test","","",""
"","3913","Github Secrets","chromium","2026-07-01","passed","2026-07-01","Github Environment Tests","","",""
"","336","invalid movie id - array & toContainEqual","webkit","2026-07-01","passed","2026-07-01","API Tests","","",""
"","6029","element screenshot","chromium","2026-07-01","passed","2026-07-01","Visual Test","","",""
"","332","invalid movie id - json & toEqual","firefox","2026-07-01","passed","2026-07-01","API Tests","","",""
"","0","has title","webkit","2026-07-01","skipped","2026-07-01","Basic validations","","",""
"","502","invalid movie id - array & toContainEqual","firefox","2026-07-01","passed","2026-07-01","API Tests","","",""
"","2731","common key press","chromium","2026-07-01","passed","2026-07-01","Key Presses","","",""
"","19703","element image does not match","firefox","2026-07-01","failed","2026-07-01","UI E2E Tests - forced to fail","","",""
"","361","invalid movie id - json & toEqual","webkit","2026-07-01","passed","2026-07-01","API Tests","","",""
"","6008","special key press","chromium","2026-07-01","passed","2026-07-01","Key Presses","","",""
"","1","navigate to login page","webkit","2026-07-01","skipped","2026-07-01","Basic validations","","",""
"","0","navigate to login page","chromium","2026-07-01","skipped","2026-07-01","Basic validations","","",""
"","457","non matching key value pair - array & toContainEqual","webkit","2026-07-01","failed","2026-07-01","API Tests - forced to fail","","",""
"","8915","Github Secrets","firefox","2026-07-01","passed","2026-07-01","Github Environment Tests","","",""
"","9329","element image does not match","chromium","2026-07-01","failed","2026-07-01","UI E2E Tests - forced to fail","","",""
"","1","navigate to login page","firefox","2026-07-01","skipped","2026-07-01","Basic validations","","",""
"","240","key does not exist - json & toEqual","webkit","2026-07-01","failed","2026-07-01","API Tests - forced to fail","","",""
"","9789","page image does not match","chromium","2026-07-01","failed","2026-07-01","UI E2E Tests - forced to fail","","",""
"","4228","Github Variables","chromium","2026-07-01","passed","2026-07-01","Github Environment Tests","","",""
"","4289","login - valid credentials","webkit","2026-07-01","passed","2026-07-01","Login","","",""
