"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","238","non matching key value pair - array & toContainEqual","firefox","Wed Sep 03 02:10:22 UTC 2025","failed","Wed Sep 03 02:10:22 UTC 2025","API Tests - forced to fail","","",""
"","8620","Github Variables","firefox","Wed Sep 03 02:10:23 UTC 2025","passed","Wed Sep 03 02:10:32 UTC 2025","Github Environment Tests","","",""
"","439","key does not exist - json & toEqual","webkit","Wed Sep 03 02:10:42 UTC 2025","failed","Wed Sep 03 02:10:43 UTC 2025","API Tests - forced to fail","","",""
"","15684","text does not match","firefox","Wed Sep 03 02:10:23 UTC 2025","failed","Wed Sep 03 02:10:38 UTC 2025","UI E2E Tests - forced to fail","","",""
"","10442","page image does not match","webkit","Wed Sep 03 02:10:40 UTC 2025","failed","Wed Sep 03 02:10:51 UTC 2025","UI E2E Tests - forced to fail","","",""
"","16774","page screenshot","firefox","Wed Sep 03 02:10:23 UTC 2025","passed","Wed Sep 03 02:10:40 UTC 2025","Visual Test","","",""
"","1","navigate to login page","webkit","Wed Sep 03 02:10:48 UTC 2025","skipped","Wed Sep 03 02:10:48 UTC 2025","Basic validations","","",""
"","473","fetch valid movie ","chromium","Wed Sep 03 02:10:11 UTC 2025","passed","Wed Sep 03 02:10:11 UTC 2025","API Tests","","",""
"","432","status does not match","chromium","Wed Sep 03 02:10:11 UTC 2025","failed","Wed Sep 03 02:10:11 UTC 2025","API Tests - forced to fail","","",""
"","3650","login - valid credentials","chromium","Wed Sep 03 02:10:18 UTC 2025","passed","Wed Sep 03 02:10:22 UTC 2025","Login","","",""
"","331","invalid movie id - json & toEqual","chromium","Wed Sep 03 02:10:11 UTC 2025","passed","Wed Sep 03 02:10:11 UTC 2025","API Tests","","",""
"","7387","element screenshot","chromium","Wed Sep 03 02:10:11 UTC 2025","passed","Wed Sep 03 02:10:19 UTC 2025","Visual Test","","",""
"","11101","element image does not match","chromium","Wed Sep 03 02:10:11 UTC 2025","failed","Wed Sep 03 02:10:22 UTC 2025","UI E2E Tests - forced to fail","","",""
"","253","invalid movie id - json & toEqual","firefox","Wed Sep 03 02:10:20 UTC 2025","passed","Wed Sep 03 02:10:20 UTC 2025","API Tests","","",""
"","4742","Github Secrets","webkit","Wed Sep 03 02:10:43 UTC 2025","passed","Wed Sep 03 02:10:48 UTC 2025","Github Environment Tests","","",""
"","11128","page image does not match","chromium","Wed Sep 03 02:10:11 UTC 2025","failed","Wed Sep 03 02:10:22 UTC 2025","UI E2E Tests - forced to fail","","",""
"","321","non matching key value pair - array & toContainEqual","webkit","Wed Sep 03 02:10:39 UTC 2025","failed","Wed Sep 03 02:10:40 UTC 2025","API Tests - forced to fail","","",""
"","19067","element image does not match","firefox","Wed Sep 03 02:10:22 UTC 2025","failed","Wed Sep 03 02:10:41 UTC 2025","UI E2E Tests - forced to fail","","",""
"","4664","common key press","webkit","Wed Sep 03 02:10:47 UTC 2025","passed","Wed Sep 03 02:10:51 UTC 2025","Key Presses","","",""
"","5869","common key press","firefox","Wed Sep 03 02:10:32 UTC 2025","passed","Wed Sep 03 02:10:38 UTC 2025","Key Presses","","",""
"","435","invalid movie id - array & toContainEqual","chromium","Wed Sep 03 02:10:11 UTC 2025","passed","Wed Sep 03 02:10:11 UTC 2025","API Tests","","",""
"","10424","text does not match","chromium","Wed Sep 03 02:10:11 UTC 2025","failed","Wed Sep 03 02:10:21 UTC 2025","UI E2E Tests - forced to fail","","",""
"","411","fetch valid movie ","firefox","Wed Sep 03 02:10:20 UTC 2025","passed","Wed Sep 03 02:10:20 UTC 2025","API Tests","","",""
"","0","has title","webkit","Wed Sep 03 02:10:48 UTC 2025","skipped","Wed Sep 03 02:10:48 UTC 2025","Basic validations","","",""
