"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 11:33:17 GMT 2024","Tue Jul 23 11:33:18 GMT 2024","165","webkit","","API Tests","","","invalid movie id - array & toContainEqual",""
"broken","Tue Jul 23 11:33:03 GMT 2024","Tue Jul 23 11:33:37 GMT 2024","34428","firefox","","UI E2E Tests - forced to fail","","","element image does not match",""
"skipped","Tue Jul 23 11:33:17 GMT 2024","Tue Jul 23 11:33:17 GMT 2024","1","firefox","","Basic validations","","","navigate to login page",""
"failed","Tue Jul 23 11:33:02 GMT 2024","Tue Jul 23 11:33:02 GMT 2024","393","firefox","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Tue Jul 23 11:32:53 GMT 2024","Tue Jul 23 11:32:53 GMT 2024","572","chromium","","API Tests","","","fetch valid movie ",""
"failed","Tue Jul 23 11:33:00 GMT 2024","Tue Jul 23 11:33:01 GMT 2024","135","firefox","","API Tests - forced to fail","","","status does not match",""
"broken","Tue Jul 23 11:33:05 GMT 2024","Tue Jul 23 11:33:39 GMT 2024","34111","firefox","","Visual Test","","","page screenshot",""
"passed","Tue Jul 23 11:32:58 GMT 2024","Tue Jul 23 11:33:02 GMT 2024","3184","chromium","","Login","","","login - valid credentials",""
"skipped","Tue Jul 23 11:32:59 GMT 2024","Tue Jul 23 11:32:59 GMT 2024","1","chromium","","Basic validations","","","navigate to login page",""
"failed","Tue Jul 23 11:32:53 GMT 2024","Tue Jul 23 11:32:54 GMT 2024","292","chromium","","API Tests - forced to fail","","","status does not match",""
"failed","Tue Jul 23 11:33:02 GMT 2024","Tue Jul 23 11:33:16 GMT 2024","14044","firefox","","UI E2E Tests - forced to fail","","","text does not match",""
"broken","Tue Jul 23 11:33:12 GMT 2024","Tue Jul 23 11:33:43 GMT 2024","31042","firefox","","Login","","","login - valid credentials",""
"broken","Tue Jul 23 11:33:38 GMT 2024","Tue Jul 23 11:34:10 GMT 2024","31766","webkit","","UI E2E Tests - forced to fail","","","element image does not match",""
"passed","Tue Jul 23 11:33:00 GMT 2024","Tue Jul 23 11:33:00 GMT 2024","277","firefox","","API Tests","","","fetch valid movie ",""
"passed","Tue Jul 23 11:32:53 GMT 2024","Tue Jul 23 11:32:53 GMT 2024","376","chromium","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Tue Jul 23 11:33:02 GMT 2024","Tue Jul 23 11:33:12 GMT 2024","9770","firefox","","Github Environment Tests","","","Github Variables",""
"skipped","Tue Jul 23 11:34:11 GMT 2024","Tue Jul 23 11:34:11 GMT 2024","1","webkit","","Basic validations","","","navigate to login page",""
"passed","Tue Jul 23 11:34:10 GMT 2024","Tue Jul 23 11:34:28 GMT 2024","17470","webkit","","Login","","","login - valid credentials",""
"broken","Tue Jul 23 11:33:39 GMT 2024","Tue Jul 23 11:34:10 GMT 2024","31751","webkit","","UI E2E Tests - forced to fail","","","page image does not match",""
"passed","Tue Jul 23 11:33:02 GMT 2024","Tue Jul 23 11:33:12 GMT 2024","9854","firefox","","Github Environment Tests","","","Github Secrets",""
"failed","Tue Jul 23 11:33:18 GMT 2024","Tue Jul 23 11:33:18 GMT 2024","71","webkit","","API Tests - forced to fail","","","status does not match",""
"passed","Tue Jul 23 11:33:18 GMT 2024","Tue Jul 23 11:33:18 GMT 2024","84","webkit","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Tue Jul 23 11:32:54 GMT 2024","Tue Jul 23 11:32:59 GMT 2024","4658","chromium","","Key Presses","","","special key press",""
"passed","Tue Jul 23 11:33:02 GMT 2024","Tue Jul 23 11:33:02 GMT 2024","498","firefox","","API Tests","","","invalid movie id - json & toEqual",""
"failed","Tue Jul 23 11:33:19 GMT 2024","Tue Jul 23 11:33:19 GMT 2024","132","webkit","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Tue Jul 23 11:33:17 GMT 2024","Tue Jul 23 11:33:17 GMT 2024","140","webkit","","API Tests","","","fetch valid movie ",""
"passed","Tue Jul 23 11:32:55 GMT 2024","Tue Jul 23 11:32:59 GMT 2024","3704","chromium","","Visual Test","","","element screenshot",""
"broken","Tue Jul 23 11:33:12 GMT 2024","Tue Jul 23 11:33:42 GMT 2024","30635","firefox","","Key Presses","","","common key press",""
"passed","Tue Jul 23 11:32:53 GMT 2024","Tue Jul 23 11:32:53 GMT 2024","309","chromium","","API Tests","","","invalid movie id - array & toContainEqual",""
"failed","Tue Jul 23 11:33:03 GMT 2024","Tue Jul 23 11:33:03 GMT 2024","484","firefox","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"broken","Tue Jul 23 11:33:43 GMT 2024","Tue Jul 23 11:34:14 GMT 2024","31075","webkit","","Visual Test","","","element screenshot",""
"skipped","Tue Jul 23 11:33:17 GMT 2024","Tue Jul 23 11:33:17 GMT 2024","2","firefox","","Basic validations","","","has title",""
"failed","Tue Jul 23 11:32:53 GMT 2024","Tue Jul 23 11:33:01 GMT 2024","7857","chromium","","UI E2E Tests - forced to fail","","","page image does not match",""
"failed","Tue Jul 23 11:32:53 GMT 2024","Tue Jul 23 11:32:53 GMT 2024","231","chromium","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"failed","Tue Jul 23 11:32:53 GMT 2024","Tue Jul 23 11:33:01 GMT 2024","7567","chromium","","UI E2E Tests - forced to fail","","","text does not match",""
"passed","Tue Jul 23 11:32:53 GMT 2024","Tue Jul 23 11:32:57 GMT 2024","3613","chromium","","Github Environment Tests","","","Github Variables",""
"broken","Tue Jul 23 11:33:07 GMT 2024","Tue Jul 23 11:33:43 GMT 2024","35876","firefox","","Key Presses","","","special key press",""
"failed","Tue Jul 23 11:32:53 GMT 2024","Tue Jul 23 11:32:53 GMT 2024","319","chromium","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"failed","Tue Jul 23 11:32:53 GMT 2024","Tue Jul 23 11:33:01 GMT 2024","7960","chromium","","UI E2E Tests - forced to fail","","","element image does not match",""
"skipped","Tue Jul 23 11:34:11 GMT 2024","Tue Jul 23 11:34:11 GMT 2024","3","webkit","","Basic validations","","","has title",""
"passed","Tue Jul 23 11:32:54 GMT 2024","Tue Jul 23 11:33:05 GMT 2024","11796","chromium","","Visual Test","","","page screenshot",""
"skipped","Tue Jul 23 11:32:59 GMT 2024","Tue Jul 23 11:32:59 GMT 2024","1","chromium","","Basic validations","","","has title",""
"failed","Tue Jul 23 11:33:18 GMT 2024","Tue Jul 23 11:33:18 GMT 2024","140","webkit","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Tue Jul 23 11:32:55 GMT 2024","Tue Jul 23 11:32:58 GMT 2024","3515","chromium","","Github Environment Tests","","","Github Secrets",""
"broken","Tue Jul 23 11:33:40 GMT 2024","Tue Jul 23 11:34:11 GMT 2024","31373","webkit","","Github Environment Tests","","","Github Variables",""
"broken","Tue Jul 23 11:33:52 GMT 2024","Tue Jul 23 11:34:22 GMT 2024","30782","webkit","","Key Presses","","","common key press",""
"passed","Tue Jul 23 11:33:01 GMT 2024","Tue Jul 23 11:33:02 GMT 2024","357","firefox","","API Tests","","","invalid movie id - array & toContainEqual",""
"broken","Tue Jul 23 11:33:04 GMT 2024","Tue Jul 23 11:33:37 GMT 2024","33641","firefox","","UI E2E Tests - forced to fail","","","page image does not match",""
"broken","Tue Jul 23 11:33:44 GMT 2024","Tue Jul 23 11:34:15 GMT 2024","31082","webkit","","Key Presses","","","special key press",""
"broken","Tue Jul 23 11:33:44 GMT 2024","Tue Jul 23 11:34:15 GMT 2024","31199","webkit","","Visual Test","","","page screenshot",""
"passed","Tue Jul 23 11:32:57 GMT 2024","Tue Jul 23 11:33:00 GMT 2024","2788","chromium","","Key Presses","","","common key press",""
"broken","Tue Jul 23 11:33:39 GMT 2024","Tue Jul 23 11:34:11 GMT 2024","31685","webkit","","Github Environment Tests","","","Github Secrets",""
"broken","Tue Jul 23 11:33:04 GMT 2024","Tue Jul 23 11:33:38 GMT 2024","34084","firefox","","Visual Test","","","element screenshot",""
"broken","Tue Jul 23 11:33:20 GMT 2024","Tue Jul 23 11:33:51 GMT 2024","31626","webkit","","UI E2E Tests - forced to fail","","","text does not match",""
