"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 13 14:55:38 GMT 2023","Mon Feb 13 14:55:41 GMT 2023","3745","chromium","image.test.ts","Visual Test","","","element screenshot",""
"skipped","Mon Feb 13 14:56:11 GMT 2023","Mon Feb 13 14:56:11 GMT 2023","1","firefox","sample-tests/example.test.ts","Basic validations","","","navigate to login page",""
"passed","Mon Feb 13 14:55:49 GMT 2023","Mon Feb 13 14:56:00 GMT 2023","10699","firefox","image.test.ts","Visual Test","","","element screenshot",""
"skipped","Mon Feb 13 14:55:38 GMT 2023","Mon Feb 13 14:55:38 GMT 2023","4","chromium","api.test.ts","API Tests","","","api test1",""
"passed","Mon Feb 13 14:56:26 GMT 2023","Mon Feb 13 14:56:30 GMT 2023","4377","webkit","key-presses.test.ts","Key Presses","","","common key press",""
"passed","Mon Feb 13 14:56:24 GMT 2023","Mon Feb 13 14:56:31 GMT 2023","7674","webkit","image.test.ts","Visual Test","","","page screenshot",""
"failed","Mon Feb 13 14:55:38 GMT 2023","Mon Feb 13 14:55:43 GMT 2023","4934","chromium","forced-fails.test.ts","Tests that are expected to fail","","","text does not match",""
"skipped","Mon Feb 13 14:56:29 GMT 2023","Mon Feb 13 14:56:29 GMT 2023","0","webkit","sample-tests/example.test.ts","Basic validations","","","has title",""
"skipped","Mon Feb 13 14:55:47 GMT 2023","Mon Feb 13 14:55:47 GMT 2023","1","chromium","sample-tests/example.test.ts","Basic validations","","","navigate to login page",""
"skipped","Mon Feb 13 14:55:49 GMT 2023","Mon Feb 13 14:55:49 GMT 2023","1","firefox","api.test.ts","API Tests","","","api test1",""
"failed","Mon Feb 13 14:55:51 GMT 2023","Mon Feb 13 14:56:09 GMT 2023","18432","firefox","forced-fails.test.ts","Tests that are expected to fail","","","element image does not match",""
"failed","Mon Feb 13 14:56:14 GMT 2023","Mon Feb 13 14:56:23 GMT 2023","9817","webkit","forced-fails.test.ts","Tests that are expected to fail","","","page image does not match",""
"passed","Mon Feb 13 14:56:21 GMT 2023","Mon Feb 13 14:56:25 GMT 2023","4389","webkit","image.test.ts","Visual Test","","","element screenshot",""
"passed","Mon Feb 13 14:56:07 GMT 2023","Mon Feb 13 14:56:13 GMT 2023","5175","firefox","login.test.ts","Login","","","login - valid credentials",""
"passed","Mon Feb 13 14:56:25 GMT 2023","Mon Feb 13 14:56:30 GMT 2023","4726","webkit","key-presses.test.ts","Key Presses","","","special key press",""
"skipped","Mon Feb 13 14:56:11 GMT 2023","Mon Feb 13 14:56:11 GMT 2023","20","firefox","sample-tests/example.test.ts","Basic validations","","","has title",""
"passed","Mon Feb 13 14:55:41 GMT 2023","Mon Feb 13 14:55:49 GMT 2023","7726","chromium","image.test.ts","Visual Test","","","page screenshot",""
"failed","Mon Feb 13 14:56:17 GMT 2023","Mon Feb 13 14:56:24 GMT 2023","7441","webkit","forced-fails.test.ts","Tests that are expected to fail","","","element image does not match",""
"skipped","Mon Feb 13 14:56:29 GMT 2023","Mon Feb 13 14:56:29 GMT 2023","0","webkit","sample-tests/example.test.ts","Basic validations","","","navigate to login page",""
"passed","Mon Feb 13 14:56:25 GMT 2023","Mon Feb 13 14:56:29 GMT 2023","4300","webkit","login.test.ts","Login","","","login - valid credentials",""
"failed","Mon Feb 13 14:55:50 GMT 2023","Mon Feb 13 14:56:02 GMT 2023","12320","firefox","forced-fails.test.ts","Tests that are expected to fail","","","text does not match",""
"passed","Mon Feb 13 14:56:00 GMT 2023","Mon Feb 13 14:56:07 GMT 2023","7528","firefox","image.test.ts","Visual Test","","","page screenshot",""
"passed","Mon Feb 13 14:55:45 GMT 2023","Mon Feb 13 14:55:48 GMT 2023","3345","chromium","key-presses.test.ts","Key Presses","","","common key press",""
"failed","Mon Feb 13 14:55:51 GMT 2023","Mon Feb 13 14:56:07 GMT 2023","15923","firefox","forced-fails.test.ts","Tests that are expected to fail","","","page image does not match",""
"passed","Mon Feb 13 14:55:45 GMT 2023","Mon Feb 13 14:55:49 GMT 2023","3971","chromium","login.test.ts","Login","","","login - valid credentials",""
"passed","Mon Feb 13 14:56:05 GMT 2023","Mon Feb 13 14:56:13 GMT 2023","8734","firefox","key-presses.test.ts","Key Presses","","","special key press",""
"skipped","Mon Feb 13 14:55:47 GMT 2023","Mon Feb 13 14:55:47 GMT 2023","1","chromium","sample-tests/example.test.ts","Basic validations","","","has title",""
"failed","Mon Feb 13 14:55:38 GMT 2023","Mon Feb 13 14:55:44 GMT 2023","6039","chromium","forced-fails.test.ts","Tests that are expected to fail","","","page image does not match",""
"skipped","Mon Feb 13 14:56:14 GMT 2023","Mon Feb 13 14:56:14 GMT 2023","11","webkit","api.test.ts","API Tests","","","api test1",""
"passed","Mon Feb 13 14:55:44 GMT 2023","Mon Feb 13 14:55:47 GMT 2023","3258","chromium","key-presses.test.ts","Key Presses","","","special key press",""
"passed","Mon Feb 13 14:56:08 GMT 2023","Mon Feb 13 14:56:18 GMT 2023","10534","firefox","key-presses.test.ts","Key Presses","","","common key press",""
"failed","Mon Feb 13 14:55:38 GMT 2023","Mon Feb 13 14:55:44 GMT 2023","5885","chromium","forced-fails.test.ts","Tests that are expected to fail","","","element image does not match",""
"failed","Mon Feb 13 14:56:16 GMT 2023","Mon Feb 13 14:56:22 GMT 2023","6220","webkit","forced-fails.test.ts","Tests that are expected to fail","","","text does not match",""
