"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8278","text does not match","chromium","Sun Apr 06 02:20:55 GMT 2025","failed","Sun Apr 06 02:21:03 GMT 2025","UI E2E Tests - forced to fail","","",""
"","1","has title","chromium","Sun Apr 06 02:21:01 GMT 2025","skipped","Sun Apr 06 02:21:01 GMT 2025","Basic validations","","",""
"","374","non matching key value pair - array & toContainEqual","chromium","Sun Apr 06 02:20:55 GMT 2025","failed","Sun Apr 06 02:20:56 GMT 2025","API Tests - forced to fail","","",""
"","397","invalid movie id - array & toContainEqual","webkit","Sun Apr 06 02:21:22 GMT 2025","passed","Sun Apr 06 02:21:23 GMT 2025","API Tests","","",""
"","8270","Github Variables","firefox","Sun Apr 06 02:21:06 GMT 2025","passed","Sun Apr 06 02:21:14 GMT 2025","Github Environment Tests","","",""
"","382","key does not exist - json & toEqual","chromium","Sun Apr 06 02:20:55 GMT 2025","failed","Sun Apr 06 02:20:56 GMT 2025","API Tests - forced to fail","","",""
"","326","status does not match","webkit","Sun Apr 06 02:21:24 GMT 2025","failed","Sun Apr 06 02:21:24 GMT 2025","API Tests - forced to fail","","",""
"","16740","page image does not match","firefox","Sun Apr 06 02:21:05 GMT 2025","failed","Sun Apr 06 02:21:22 GMT 2025","UI E2E Tests - forced to fail","","",""
"","401","invalid movie id - json & toEqual","firefox","Sun Apr 06 02:21:04 GMT 2025","passed","Sun Apr 06 02:21:04 GMT 2025","API Tests","","",""
"","1","has title","firefox","Sun Apr 06 02:21:18 GMT 2025","skipped","Sun Apr 06 02:21:18 GMT 2025","Basic validations","","",""
"","9598","page image does not match","webkit","Sun Apr 06 02:21:23 GMT 2025","failed","Sun Apr 06 02:21:32 GMT 2025","UI E2E Tests - forced to fail","","",""
"","5851","Github Secrets","webkit","Sun Apr 06 02:21:24 GMT 2025","passed","Sun Apr 06 02:21:30 GMT 2025","Github Environment Tests","","",""
"","6125","login - valid credentials","firefox","Sun Apr 06 02:21:14 GMT 2025","passed","Sun Apr 06 02:21:20 GMT 2025","Login","","",""
"","3953","Github Variables","webkit","Sun Apr 06 02:21:25 GMT 2025","passed","Sun Apr 06 02:21:29 GMT 2025","Github Environment Tests","","",""
"","0","navigate to login page","webkit","Sun Apr 06 02:21:30 GMT 2025","skipped","Sun Apr 06 02:21:30 GMT 2025","Basic validations","","",""
"","10652","page screenshot","webkit","Sun Apr 06 02:21:25 GMT 2025","passed","Sun Apr 06 02:21:35 GMT 2025","Visual Test","","",""
"","5956","element screenshot","chromium","Sun Apr 06 02:20:56 GMT 2025","passed","Sun Apr 06 02:21:02 GMT 2025","Visual Test","","",""
"","11519","special key press","firefox","Sun Apr 06 02:21:12 GMT 2025","passed","Sun Apr 06 02:21:23 GMT 2025","Key Presses","","",""
"","472","fetch valid movie ","firefox","Sun Apr 06 02:21:03 GMT 2025","passed","Sun Apr 06 02:21:03 GMT 2025","API Tests","","",""
"","10557","text does not match","webkit","Sun Apr 06 02:21:22 GMT 2025","failed","Sun Apr 06 02:21:32 GMT 2025","UI E2E Tests - forced to fail","","",""
"","444","invalid movie id - array & toContainEqual","chromium","Sun Apr 06 02:20:55 GMT 2025","passed","Sun Apr 06 02:20:56 GMT 2025","API Tests","","",""
"","0","navigate to login page","chromium","Sun Apr 06 02:21:01 GMT 2025","skipped","Sun Apr 06 02:21:01 GMT 2025","Basic validations","","",""
"","301","key does not exist - json & toEqual","firefox","Sun Apr 06 02:21:03 GMT 2025","failed","Sun Apr 06 02:21:04 GMT 2025","API Tests - forced to fail","","",""
"","9659","element image does not match","chromium","Sun Apr 06 02:20:55 GMT 2025","failed","Sun Apr 06 02:21:05 GMT 2025","UI E2E Tests - forced to fail","","",""
"","391","key does not exist - json & toEqual","webkit","Sun Apr 06 02:21:24 GMT 2025","failed","Sun Apr 06 02:21:25 GMT 2025","API Tests - forced to fail","","",""
"","471","non matching key value pair - array & toContainEqual","firefox","Sun Apr 06 02:21:05 GMT 2025","failed","Sun Apr 06 02:21:05 GMT 2025","API Tests - forced to fail","","",""
"","4151","Github Secrets","chromium","Sun Apr 06 02:20:56 GMT 2025","passed","Sun Apr 06 02:21:00 GMT 2025","Github Environment Tests","","",""
"","4552","Github Variables","chromium","Sun Apr 06 02:20:56 GMT 2025","passed","Sun Apr 06 02:21:00 GMT 2025","Github Environment Tests","","",""
"","420","fetch valid movie ","webkit","Sun Apr 06 02:21:22 GMT 2025","passed","Sun Apr 06 02:21:22 GMT 2025","API Tests","","",""
"","402","non matching key value pair - array & toContainEqual","webkit","Sun Apr 06 02:21:23 GMT 2025","failed","Sun Apr 06 02:21:23 GMT 2025","API Tests - forced to fail","","",""
