"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Sep 15 02:11:18 GMT 2024","Sun Sep 15 02:11:26 GMT 2024","7708","chromium","","UI E2E Tests - forced to fail","","","element image does not match",""
"skipped","Sun Sep 15 02:11:24 GMT 2024","Sun Sep 15 02:11:24 GMT 2024","0","chromium","","Basic validations","","","has title",""
"passed","Sun Sep 15 02:11:30 GMT 2024","Sun Sep 15 02:11:42 GMT 2024","11561","firefox","","Key Presses","","","special key press",""
"passed","Sun Sep 15 02:11:20 GMT 2024","Sun Sep 15 02:11:24 GMT 2024","3522","chromium","","Github Environment Tests","","","Github Variables",""
"passed","Sun Sep 15 02:11:18 GMT 2024","Sun Sep 15 02:11:19 GMT 2024","593","chromium","","API Tests","","","fetch valid movie ",""
"passed","Sun Sep 15 02:11:18 GMT 2024","Sun Sep 15 02:11:19 GMT 2024","365","chromium","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Sun Sep 15 02:11:26 GMT 2024","Sun Sep 15 02:11:26 GMT 2024","540","firefox","","API Tests","","","fetch valid movie ",""
"failed","Sun Sep 15 02:11:48 GMT 2024","Sun Sep 15 02:11:48 GMT 2024","391","webkit","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"failed","Sun Sep 15 02:11:46 GMT 2024","Sun Sep 15 02:11:57 GMT 2024","10635","webkit","","UI E2E Tests - forced to fail","","","page image does not match",""
"passed","Sun Sep 15 02:11:27 GMT 2024","Sun Sep 15 02:11:28 GMT 2024","350","firefox","","API Tests","","","invalid movie id - json & toEqual",""
"skipped","Sun Sep 15 02:11:24 GMT 2024","Sun Sep 15 02:11:24 GMT 2024","1","chromium","","Basic validations","","","navigate to login page",""
"failed","Sun Sep 15 02:11:18 GMT 2024","Sun Sep 15 02:11:19 GMT 2024","368","chromium","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Sun Sep 15 02:11:28 GMT 2024","Sun Sep 15 02:11:45 GMT 2024","16982","firefox","","Visual Test","","","page screenshot",""
"passed","Sun Sep 15 02:11:23 GMT 2024","Sun Sep 15 02:11:26 GMT 2024","2693","chromium","","Key Presses","","","common key press",""
"failed","Sun Sep 15 02:11:45 GMT 2024","Sun Sep 15 02:11:46 GMT 2024","340","webkit","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"skipped","Sun Sep 15 02:11:42 GMT 2024","Sun Sep 15 02:11:42 GMT 2024","1","firefox","","Basic validations","","","has title",""
"skipped","Sun Sep 15 02:11:54 GMT 2024","Sun Sep 15 02:11:54 GMT 2024","0","webkit","","Basic validations","","","has title",""
"passed","Sun Sep 15 02:11:29 GMT 2024","Sun Sep 15 02:11:38 GMT 2024","8754","firefox","","Github Environment Tests","","","Github Variables",""
"passed","Sun Sep 15 02:11:53 GMT 2024","Sun Sep 15 02:11:57 GMT 2024","3877","webkit","","Login","","","login - valid credentials",""
"passed","Sun Sep 15 02:11:24 GMT 2024","Sun Sep 15 02:11:27 GMT 2024","3322","chromium","","Login","","","login - valid credentials",""
"passed","Sun Sep 15 02:11:20 GMT 2024","Sun Sep 15 02:11:26 GMT 2024","5455","chromium","","Visual Test","","","element screenshot",""
"failed","Sun Sep 15 02:11:18 GMT 2024","Sun Sep 15 02:11:19 GMT 2024","657","chromium","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Sun Sep 15 02:11:47 GMT 2024","Sun Sep 15 02:11:53 GMT 2024","6783","webkit","","Github Environment Tests","","","Github Variables",""
"failed","Sun Sep 15 02:11:26 GMT 2024","Sun Sep 15 02:11:27 GMT 2024","371","firefox","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Sun Sep 15 02:11:53 GMT 2024","Sun Sep 15 02:11:57 GMT 2024","3568","webkit","","Key Presses","","","common key press",""
"skipped","Sun Sep 15 02:11:42 GMT 2024","Sun Sep 15 02:11:42 GMT 2024","0","firefox","","Basic validations","","","navigate to login page",""
"skipped","Sun Sep 15 02:11:54 GMT 2024","Sun Sep 15 02:11:54 GMT 2024","1","webkit","","Basic validations","","","navigate to login page",""
"failed","Sun Sep 15 02:11:47 GMT 2024","Sun Sep 15 02:11:57 GMT 2024","9825","webkit","","UI E2E Tests - forced to fail","","","text does not match",""
