"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 28 02:21:22 GMT 2023","Wed Jun 28 02:21:27 GMT 2023","5119","webkit","","Key Presses","","","common key press",""
"passed","Wed Jun 28 02:20:03 GMT 2023","Wed Jun 28 02:20:04 GMT 2023","462","chromium","","API Tests","","","invalid movie id - array & toContainEqual",""
"skipped","Wed Jun 28 02:21:27 GMT 2023","Wed Jun 28 02:21:27 GMT 2023","0","webkit","","Basic validations","","","has title",""
"passed","Wed Jun 28 02:21:21 GMT 2023","Wed Jun 28 02:21:34 GMT 2023","12902","webkit","","Visual Test","","","page screenshot",""
"skipped","Wed Jun 28 02:20:18 GMT 2023","Wed Jun 28 02:20:18 GMT 2023","2","chromium","","Basic validations","","","has title",""
"failed","Wed Jun 28 02:20:23 GMT 2023","Wed Jun 28 02:20:24 GMT 2023","263","firefox","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Wed Jun 28 02:20:13 GMT 2023","Wed Jun 28 02:20:28 GMT 2023","15229","chromium","","Visual Test","","","page screenshot",""
"passed","Wed Jun 28 02:20:54 GMT 2023","Wed Jun 28 02:21:02 GMT 2023","7788","firefox","","Key Presses","","","common key press",""
"passed","Wed Jun 28 02:21:18 GMT 2023","Wed Jun 28 02:21:22 GMT 2023","3883","webkit","","Github Environment Tests","","","Github Variables",""
"passed","Wed Jun 28 02:20:23 GMT 2023","Wed Jun 28 02:20:24 GMT 2023","341","firefox","","API Tests","","","invalid movie id - array & toContainEqual",""
"failed","Wed Jun 28 02:21:09 GMT 2023","Wed Jun 28 02:21:10 GMT 2023","651","webkit","","API Tests - forced to fail","","","status does not match",""
"passed","Wed Jun 28 02:21:07 GMT 2023","Wed Jun 28 02:21:08 GMT 2023","409","webkit","","API Tests","","","fetch valid movie ",""
"passed","Wed Jun 28 02:20:11 GMT 2023","Wed Jun 28 02:20:14 GMT 2023","3358","chromium","","Visual Test","","","element screenshot",""
"failed","Wed Jun 28 02:20:03 GMT 2023","Wed Jun 28 02:20:04 GMT 2023","288","chromium","","API Tests - forced to fail","","","status does not match",""
"failed","Wed Jun 28 02:20:22 GMT 2023","Wed Jun 28 02:20:22 GMT 2023","183","firefox","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"skipped","Wed Jun 28 02:21:02 GMT 2023","Wed Jun 28 02:21:02 GMT 2023","4","firefox","","Basic validations","","","has title",""
"passed","Wed Jun 28 02:20:32 GMT 2023","Wed Jun 28 02:20:45 GMT 2023","12972","firefox","","Github Environment Tests","","","Github Secrets",""
"passed","Wed Jun 28 02:21:13 GMT 2023","Wed Jun 28 02:21:18 GMT 2023","5150","webkit","","Github Environment Tests","","","Github Secrets",""
"failed","Wed Jun 28 02:20:04 GMT 2023","Wed Jun 28 02:20:12 GMT 2023","7871","chromium","","UI E2E Tests - forced to fail","","","page image does not match",""
"failed","Wed Jun 28 02:21:08 GMT 2023","Wed Jun 28 02:21:08 GMT 2023","192","webkit","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"skipped","Wed Jun 28 02:21:02 GMT 2023","Wed Jun 28 02:21:02 GMT 2023","0","firefox","","Basic validations","","","navigate to login page",""
"passed","Wed Jun 28 02:20:55 GMT 2023","Wed Jun 28 02:21:05 GMT 2023","9460","firefox","","Login","","","login - valid credentials",""
"passed","Wed Jun 28 02:20:45 GMT 2023","Wed Jun 28 02:20:55 GMT 2023","10622","firefox","","Visual Test","","","page screenshot",""
"failed","Wed Jun 28 02:21:08 GMT 2023","Wed Jun 28 02:21:19 GMT 2023","11299","webkit","","UI E2E Tests - forced to fail","","","text does not match",""
