"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 01:50:15 GMT 2024","Wed Jul 10 01:50:18 GMT 2024","3273","webkit","","Login","","","login - valid credentials",""
"passed","Wed Jul 10 01:50:09 GMT 2024","Wed Jul 10 01:50:15 GMT 2024","5601","webkit","","Github Environment Tests","","","Github Variables",""
"skipped","Wed Jul 10 01:50:16 GMT 2024","Wed Jul 10 01:50:16 GMT 2024","3","webkit","","Basic validations","","","navigate to login page",""
"failed","Wed Jul 10 01:50:09 GMT 2024","Wed Jul 10 01:50:17 GMT 2024","8303","webkit","","UI E2E Tests - forced to fail","","","page image does not match",""
"failed","Wed Jul 10 01:49:42 GMT 2024","Wed Jul 10 01:49:49 GMT 2024","7453","chromium","","UI E2E Tests - forced to fail","","","element image does not match",""
"passed","Wed Jul 10 01:49:50 GMT 2024","Wed Jul 10 01:49:50 GMT 2024","362","firefox","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Wed Jul 10 01:49:52 GMT 2024","Wed Jul 10 01:50:10 GMT 2024","17309","firefox","","Visual Test","","","page screenshot",""
"passed","Wed Jul 10 01:49:58 GMT 2024","Wed Jul 10 01:50:04 GMT 2024","6449","firefox","","Login","","","login - valid credentials",""
"skipped","Wed Jul 10 01:50:16 GMT 2024","Wed Jul 10 01:50:16 GMT 2024","0","webkit","","Basic validations","","","has title",""
"failed","Wed Jul 10 01:49:42 GMT 2024","Wed Jul 10 01:49:48 GMT 2024","6079","chromium","","UI E2E Tests - forced to fail","","","page image does not match",""
"failed","Wed Jul 10 01:49:51 GMT 2024","Wed Jul 10 01:50:04 GMT 2024","13160","firefox","","UI E2E Tests - forced to fail","","","text does not match",""
"passed","Wed Jul 10 01:49:50 GMT 2024","Wed Jul 10 01:49:50 GMT 2024","249","firefox","","API Tests","","","fetch valid movie ",""
"passed","Wed Jul 10 01:49:41 GMT 2024","Wed Jul 10 01:49:42 GMT 2024","516","chromium","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Wed Jul 10 01:50:13 GMT 2024","Wed Jul 10 01:50:21 GMT 2024","8284","webkit","","Visual Test","","","page screenshot",""
"passed","Wed Jul 10 01:49:42 GMT 2024","Wed Jul 10 01:49:46 GMT 2024","4357","chromium","","Visual Test","","","element screenshot",""
"failed","Wed Jul 10 01:49:42 GMT 2024","Wed Jul 10 01:49:42 GMT 2024","386","chromium","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Wed Jul 10 01:49:50 GMT 2024","Wed Jul 10 01:49:58 GMT 2024","7532","firefox","","Github Environment Tests","","","Github Variables",""
"passed","Wed Jul 10 01:49:50 GMT 2024","Wed Jul 10 01:49:50 GMT 2024","283","firefox","","API Tests","","","invalid movie id - array & toContainEqual",""
