"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","538","invalid movie id - json & toEqual","firefox","Wed Mar 26 02:15:00 GMT 2025","passed","Wed Mar 26 02:15:00 GMT 2025","API Tests","","",""
"","5248","Github Variables","chromium","Wed Mar 26 02:14:51 GMT 2025","passed","Wed Mar 26 02:14:56 GMT 2025","Github Environment Tests","","",""
"","406","status does not match","webkit","Wed Mar 26 02:15:20 GMT 2025","failed","Wed Mar 26 02:15:20 GMT 2025","API Tests - forced to fail","","",""
"","392","key does not exist - json & toEqual","chromium","Wed Mar 26 02:14:49 GMT 2025","failed","Wed Mar 26 02:14:50 GMT 2025","API Tests - forced to fail","","",""
"","5573","common key press","firefox","Wed Mar 26 02:15:10 GMT 2025","passed","Wed Mar 26 02:15:15 GMT 2025","Key Presses","","",""
"","6827","element screenshot","chromium","Wed Mar 26 02:14:50 GMT 2025","passed","Wed Mar 26 02:14:57 GMT 2025","Visual Test","","",""
"","279","key does not exist - json & toEqual","webkit","Wed Mar 26 02:15:20 GMT 2025","failed","Wed Mar 26 02:15:20 GMT 2025","API Tests - forced to fail","","",""
"","4959","Github Secrets","chromium","Wed Mar 26 02:14:50 GMT 2025","passed","Wed Mar 26 02:14:55 GMT 2025","Github Environment Tests","","",""
"","427","invalid movie id - array & toContainEqual","chromium","Wed Mar 26 02:14:50 GMT 2025","passed","Wed Mar 26 02:14:50 GMT 2025","API Tests","","",""
"","7307","special key press","webkit","Wed Mar 26 02:15:23 GMT 2025","passed","Wed Mar 26 02:15:30 GMT 2025","Key Presses","","",""
"","11514","page image does not match","webkit","Wed Mar 26 02:15:20 GMT 2025","failed","Wed Mar 26 02:15:31 GMT 2025","UI E2E Tests - forced to fail","","",""
"","18507","page image does not match","firefox","Wed Mar 26 02:15:00 GMT 2025","failed","Wed Mar 26 02:15:19 GMT 2025","UI E2E Tests - forced to fail","","",""
"","18677","text does not match","firefox","Wed Mar 26 02:14:59 GMT 2025","failed","Wed Mar 26 02:15:18 GMT 2025","UI E2E Tests - forced to fail","","",""
"","2823","common key press","chromium","Wed Mar 26 02:14:55 GMT 2025","passed","Wed Mar 26 02:14:58 GMT 2025","Key Presses","","",""
"","7480","Github Variables","webkit","Wed Mar 26 02:15:20 GMT 2025","passed","Wed Mar 26 02:15:28 GMT 2025","Github Environment Tests","","",""
"","7584","element screenshot","webkit","Wed Mar 26 02:15:21 GMT 2025","passed","Wed Mar 26 02:15:29 GMT 2025","Visual Test","","",""
"","482","fetch valid movie ","firefox","Wed Mar 26 02:14:59 GMT 2025","passed","Wed Mar 26 02:14:59 GMT 2025","API Tests","","",""
"","397","non matching key value pair - array & toContainEqual","chromium","Wed Mar 26 02:14:49 GMT 2025","failed","Wed Mar 26 02:14:50 GMT 2025","API Tests - forced to fail","","",""
"","10782","element image does not match","chromium","Wed Mar 26 02:14:49 GMT 2025","failed","Wed Mar 26 02:15:00 GMT 2025","UI E2E Tests - forced to fail","","",""
"","9876","element image does not match","webkit","Wed Mar 26 02:15:22 GMT 2025","failed","Wed Mar 26 02:15:32 GMT 2025","UI E2E Tests - forced to fail","","",""
"","1","has title","firefox","Wed Mar 26 02:15:15 GMT 2025","skipped","Wed Mar 26 02:15:15 GMT 2025","Basic validations","","",""
"","8797","text does not match","webkit","Wed Mar 26 02:15:22 GMT 2025","failed","Wed Mar 26 02:15:31 GMT 2025","UI E2E Tests - forced to fail","","",""
"","399","fetch valid movie ","chromium","Wed Mar 26 02:14:49 GMT 2025","passed","Wed Mar 26 02:14:50 GMT 2025","API Tests","","",""
