"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","295","fetch valid movie ","webkit","Wed Mar 12 02:11:47 GMT 2025","passed","Wed Mar 12 02:11:47 GMT 2025","API Tests","","",""
"","409","key does not exist - json & toEqual","chromium","Wed Mar 12 02:11:21 GMT 2025","failed","Wed Mar 12 02:11:21 GMT 2025","API Tests - forced to fail","","",""
"","398","status does not match","firefox","Wed Mar 12 02:11:30 GMT 2025","failed","Wed Mar 12 02:11:30 GMT 2025","API Tests - forced to fail","","",""
"","8053","element image does not match","chromium","Wed Mar 12 02:11:21 GMT 2025","failed","Wed Mar 12 02:11:29 GMT 2025","UI E2E Tests - forced to fail","","",""
"","2916","common key press","chromium","Wed Mar 12 02:11:25 GMT 2025","passed","Wed Mar 12 02:11:28 GMT 2025","Key Presses","","",""
"","4012","element screenshot","chromium","Wed Mar 12 02:11:24 GMT 2025","passed","Wed Mar 12 02:11:28 GMT 2025","Visual Test","","",""
"","304","fetch valid movie ","firefox","Wed Mar 12 02:11:29 GMT 2025","passed","Wed Mar 12 02:11:29 GMT 2025","API Tests","","",""
"","12289","element screenshot","firefox","Wed Mar 12 02:11:32 GMT 2025","passed","Wed Mar 12 02:11:44 GMT 2025","Visual Test","","",""
"","4013","Github Variables","chromium","Wed Mar 12 02:11:21 GMT 2025","passed","Wed Mar 12 02:11:25 GMT 2025","Github Environment Tests","","",""
"","470","non matching key value pair - array & toContainEqual","firefox","Wed Mar 12 02:11:31 GMT 2025","failed","Wed Mar 12 02:11:31 GMT 2025","API Tests - forced to fail","","",""
"","11783","special key press","firefox","Wed Mar 12 02:11:36 GMT 2025","passed","Wed Mar 12 02:11:48 GMT 2025","Key Presses","","",""
"","8147","page image does not match","chromium","Wed Mar 12 02:11:21 GMT 2025","failed","Wed Mar 12 02:11:29 GMT 2025","UI E2E Tests - forced to fail","","",""
"","17310","page image does not match","firefox","Wed Mar 12 02:11:30 GMT 2025","failed","Wed Mar 12 02:11:47 GMT 2025","UI E2E Tests - forced to fail","","",""
"","297","invalid movie id - json & toEqual","chromium","Wed Mar 12 02:11:21 GMT 2025","passed","Wed Mar 12 02:11:21 GMT 2025","API Tests","","",""
"","381","invalid movie id - array & toContainEqual","firefox","Wed Mar 12 02:11:30 GMT 2025","passed","Wed Mar 12 02:11:30 GMT 2025","API Tests","","",""
"","1","navigate to login page","chromium","Wed Mar 12 02:11:28 GMT 2025","skipped","Wed Mar 12 02:11:28 GMT 2025","Basic validations","","",""
"","4762","special key press","chromium","Wed Mar 12 02:11:23 GMT 2025","passed","Wed Mar 12 02:11:28 GMT 2025","Key Presses","","",""
"","0","has title","webkit","Wed Mar 12 02:11:56 GMT 2025","skipped","Wed Mar 12 02:11:56 GMT 2025","Basic validations","","",""
"","337","non matching key value pair - array & toContainEqual","webkit","Wed Mar 12 02:11:46 GMT 2025","failed","Wed Mar 12 02:11:47 GMT 2025","API Tests - forced to fail","","",""
"","9183","element image does not match","webkit","Wed Mar 12 02:11:49 GMT 2025","failed","Wed Mar 12 02:11:58 GMT 2025","UI E2E Tests - forced to fail","","",""
"","7603","Github Variables","firefox","Wed Mar 12 02:11:31 GMT 2025","passed","Wed Mar 12 02:11:39 GMT 2025","Github Environment Tests","","",""
"","4094","login - valid credentials","webkit","Wed Mar 12 02:11:55 GMT 2025","passed","Wed Mar 12 02:11:59 GMT 2025","Login","","",""
"","4728","Github Variables","webkit","Wed Mar 12 02:11:50 GMT 2025","passed","Wed Mar 12 02:11:54 GMT 2025","Github Environment Tests","","",""
"","567","status does not match","chromium","Wed Mar 12 02:11:21 GMT 2025","failed","Wed Mar 12 02:11:21 GMT 2025","API Tests - forced to fail","","",""
"","12841","page screenshot","chromium","Wed Mar 12 02:11:21 GMT 2025","passed","Wed Mar 12 02:11:34 GMT 2025","Visual Test","","",""
"","10919","page screenshot","webkit","Wed Mar 12 02:11:50 GMT 2025","passed","Wed Mar 12 02:12:01 GMT 2025","Visual Test","","",""
"","6469","special key press","webkit","Wed Mar 12 02:11:50 GMT 2025","passed","Wed Mar 12 02:11:57 GMT 2025","Key Presses","","",""
"","0","has title","chromium","Wed Mar 12 02:11:28 GMT 2025","skipped","Wed Mar 12 02:11:28 GMT 2025","Basic validations","","",""
"","3996","Github Secrets","webkit","Wed Mar 12 02:11:52 GMT 2025","passed","Wed Mar 12 02:11:56 GMT 2025","Github Environment Tests","","",""
"","466","key does not exist - json & toEqual","firefox","Wed Mar 12 02:11:31 GMT 2025","failed","Wed Mar 12 02:11:31 GMT 2025","API Tests - forced to fail","","",""
"","372","key does not exist - json & toEqual","webkit","Wed Mar 12 02:11:48 GMT 2025","failed","Wed Mar 12 02:11:49 GMT 2025","API Tests - forced to fail","","",""
"","5703","common key press","firefox","Wed Mar 12 02:11:37 GMT 2025","passed","Wed Mar 12 02:11:43 GMT 2025","Key Presses","","",""
"","6","has title","firefox","Wed Mar 12 02:11:43 GMT 2025","skipped","Wed Mar 12 02:11:43 GMT 2025","Basic validations","","",""
"","365","invalid movie id - json & toEqual","webkit","Wed Mar 12 02:11:48 GMT 2025","passed","Wed Mar 12 02:11:49 GMT 2025","API Tests","","",""
"","540","non matching key value pair - array & toContainEqual","chromium","Wed Mar 12 02:11:21 GMT 2025","failed","Wed Mar 12 02:11:21 GMT 2025","API Tests - forced to fail","","",""
"","6258","login - valid credentials","firefox","Wed Mar 12 02:11:39 GMT 2025","passed","Wed Mar 12 02:11:45 GMT 2025","Login","","",""
"","1","navigate to login page","firefox","Wed Mar 12 02:11:43 GMT 2025","skipped","Wed Mar 12 02:11:43 GMT 2025","Basic validations","","",""
"","7286","Github Secrets","firefox","Wed Mar 12 02:11:30 GMT 2025","passed","Wed Mar 12 02:11:37 GMT 2025","Github Environment Tests","","",""
"","7743","text does not match","chromium","Wed Mar 12 02:11:21 GMT 2025","failed","Wed Mar 12 02:11:28 GMT 2025","UI E2E Tests - forced to fail","","",""
"","309","status does not match","webkit","Wed Mar 12 02:11:49 GMT 2025","failed","Wed Mar 12 02:11:49 GMT 2025","API Tests - forced to fail","","",""
"","7767","page image does not match","webkit","Wed Mar 12 02:11:51 GMT 2025","failed","Wed Mar 12 02:11:59 GMT 2025","UI E2E Tests - forced to fail","","",""
"","3724","Github Secrets","chromium","Wed Mar 12 02:11:23 GMT 2025","passed","Wed Mar 12 02:11:27 GMT 2025","Github Environment Tests","","",""
"","412","invalid movie id - array & toContainEqual","chromium","Wed Mar 12 02:11:21 GMT 2025","passed","Wed Mar 12 02:11:21 GMT 2025","API Tests","","",""
"","9274","text does not match","webkit","Wed Mar 12 02:11:47 GMT 2025","failed","Wed Mar 12 02:11:56 GMT 2025","UI E2E Tests - forced to fail","","",""
"","603","fetch valid movie ","chromium","Wed Mar 12 02:11:21 GMT 2025","passed","Wed Mar 12 02:11:21 GMT 2025","API Tests","","",""
"","2921","login - valid credentials","chromium","Wed Mar 12 02:11:27 GMT 2025","passed","Wed Mar 12 02:11:30 GMT 2025","Login","","",""
"","3979","common key press","webkit","Wed Mar 12 02:11:54 GMT 2025","passed","Wed Mar 12 02:11:58 GMT 2025","Key Presses","","",""
"","443","invalid movie id - json & toEqual","firefox","Wed Mar 12 02:11:30 GMT 2025","passed","Wed Mar 12 02:11:30 GMT 2025","API Tests","","",""
