"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 13 01:43:53 GMT 2023","Wed Dec 13 01:43:56 GMT 2023","3396","webkit","","Key Presses","","","common key press",""
"failed","Wed Dec 13 01:43:30 GMT 2023","Wed Dec 13 01:43:30 GMT 2023","227","firefox","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Wed Dec 13 01:43:23 GMT 2023","Wed Dec 13 01:43:35 GMT 2023","12634","chromium","","Visual Test","","","page screenshot",""
"passed","Wed Dec 13 01:43:46 GMT 2023","Wed Dec 13 01:43:46 GMT 2023","101","webkit","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Wed Dec 13 01:43:22 GMT 2023","Wed Dec 13 01:43:23 GMT 2023","481","chromium","","API Tests","","","fetch valid movie ",""
"failed","Wed Dec 13 01:43:31 GMT 2023","Wed Dec 13 01:43:46 GMT 2023","14701","firefox","","UI E2E Tests - forced to fail","","","page image does not match",""
"passed","Wed Dec 13 01:43:37 GMT 2023","Wed Dec 13 01:43:41 GMT 2023","4272","firefox","","Key Presses","","","common key press",""
"passed","Wed Dec 13 01:43:47 GMT 2023","Wed Dec 13 01:43:53 GMT 2023","5526","webkit","","Github Environment Tests","","","Github Secrets",""
"passed","Wed Dec 13 01:43:33 GMT 2023","Wed Dec 13 01:43:48 GMT 2023","14793","firefox","","Visual Test","","","page screenshot",""
"failed","Wed Dec 13 01:43:29 GMT 2023","Wed Dec 13 01:43:29 GMT 2023","268","firefox","","API Tests - forced to fail","","","status does not match",""
"passed","Wed Dec 13 01:43:38 GMT 2023","Wed Dec 13 01:43:49 GMT 2023","10922","firefox","","Key Presses","","","special key press",""
"failed","Wed Dec 13 01:43:45 GMT 2023","Wed Dec 13 01:43:45 GMT 2023","283","webkit","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"failed","Wed Dec 13 01:43:46 GMT 2023","Wed Dec 13 01:43:56 GMT 2023","10199","webkit","","UI E2E Tests - forced to fail","","","text does not match",""
"passed","Wed Dec 13 01:43:22 GMT 2023","Wed Dec 13 01:43:23 GMT 2023","509","chromium","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Wed Dec 13 01:43:24 GMT 2023","Wed Dec 13 01:43:28 GMT 2023","3501","chromium","","Key Presses","","","special key press",""
"passed","Wed Dec 13 01:43:26 GMT 2023","Wed Dec 13 01:43:29 GMT 2023","2312","chromium","","Key Presses","","","common key press",""
"failed","Wed Dec 13 01:43:22 GMT 2023","Wed Dec 13 01:43:28 GMT 2023","5573","chromium","","UI E2E Tests - forced to fail","","","element image does not match",""
"failed","Wed Dec 13 01:43:22 GMT 2023","Wed Dec 13 01:43:23 GMT 2023","496","chromium","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"failed","Wed Dec 13 01:43:31 GMT 2023","Wed Dec 13 01:43:31 GMT 2023","345","firefox","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Wed Dec 13 01:43:30 GMT 2023","Wed Dec 13 01:43:37 GMT 2023","6889","firefox","","Github Environment Tests","","","Github Variables",""
"passed","Wed Dec 13 01:43:23 GMT 2023","Wed Dec 13 01:43:26 GMT 2023","3718","chromium","","Visual Test","","","element screenshot",""
