"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 14 02:06:24 GMT 2023","Wed Jun 14 02:06:24 GMT 2023","266","firefox","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"failed","Wed Jun 14 02:06:59 GMT 2023","Wed Jun 14 02:07:06 GMT 2023","6946","webkit","","UI E2E Tests - forced to fail","","","page image does not match",""
"failed","Wed Jun 14 02:06:09 GMT 2023","Wed Jun 14 02:06:16 GMT 2023","6732","chromium","","UI E2E Tests - forced to fail","","","text does not match",""
"failed","Wed Jun 14 02:06:57 GMT 2023","Wed Jun 14 02:07:05 GMT 2023","8462","webkit","","UI E2E Tests - forced to fail","","","element image does not match",""
"passed","Wed Jun 14 02:07:12 GMT 2023","Wed Jun 14 02:07:15 GMT 2023","3018","webkit","","Login","","","login - valid credentials",""
"passed","Wed Jun 14 02:06:17 GMT 2023","Wed Jun 14 02:06:28 GMT 2023","11099","chromium","","Visual Test","","","page screenshot",""
"skipped","Wed Jun 14 02:06:48 GMT 2023","Wed Jun 14 02:06:48 GMT 2023","0","firefox","","Basic validations","","","navigate to login page",""
"failed","Wed Jun 14 02:06:10 GMT 2023","Wed Jun 14 02:06:16 GMT 2023","5603","chromium","","UI E2E Tests - forced to fail","","","element image does not match",""
"passed","Wed Jun 14 02:06:38 GMT 2023","Wed Jun 14 02:06:46 GMT 2023","8180","firefox","","Github Environment Tests","","","Github Variables",""
"failed","Wed Jun 14 02:06:56 GMT 2023","Wed Jun 14 02:07:05 GMT 2023","9108","webkit","","UI E2E Tests - forced to fail","","","text does not match",""
"passed","Wed Jun 14 02:06:23 GMT 2023","Wed Jun 14 02:06:23 GMT 2023","211","firefox","","API Tests","","","invalid movie id - json & toEqual",""
"failed","Wed Jun 14 02:06:09 GMT 2023","Wed Jun 14 02:06:09 GMT 2023","189","chromium","","API Tests - forced to fail","","","status does not match",""
"passed","Wed Jun 14 02:06:43 GMT 2023","Wed Jun 14 02:06:48 GMT 2023","4405","firefox","","Key Presses","","","common key press",""
"passed","Wed Jun 14 02:06:17 GMT 2023","Wed Jun 14 02:06:21 GMT 2023","3964","chromium","","Key Presses","","","special key press",""
"passed","Wed Jun 14 02:06:41 GMT 2023","Wed Jun 14 02:06:52 GMT 2023","11508","firefox","","Visual Test","","","element screenshot",""
"passed","Wed Jun 14 02:06:17 GMT 2023","Wed Jun 14 02:06:21 GMT 2023","4327","chromium","","Visual Test","","","element screenshot",""
"skipped","Wed Jun 14 02:07:12 GMT 2023","Wed Jun 14 02:07:12 GMT 2023","8","webkit","","Basic validations","","","has title",""
"passed","Wed Jun 14 02:06:11 GMT 2023","Wed Jun 14 02:06:14 GMT 2023","2840","chromium","","Github Environment Tests","","","Github Secrets",""
"passed","Wed Jun 14 02:06:31 GMT 2023","Wed Jun 14 02:06:40 GMT 2023","8816","firefox","","Github Environment Tests","","","Github Secrets",""
"passed","Wed Jun 14 02:07:07 GMT 2023","Wed Jun 14 02:07:17 GMT 2023","10431","webkit","","Visual Test","","","page screenshot",""
