"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 01:44:16 GMT 2024","Wed Jan 17 01:44:25 GMT 2024","9249","firefox","","Github Environment Tests","","","Github Variables",""
"failed","Wed Jan 17 01:44:31 GMT 2024","Wed Jan 17 01:44:41 GMT 2024","9464","webkit","","UI E2E Tests - forced to fail","","","element image does not match",""
"skipped","Wed Jan 17 01:44:25 GMT 2024","Wed Jan 17 01:44:25 GMT 2024","1","firefox","","Basic validations","","","has title",""
"skipped","Wed Jan 17 01:44:25 GMT 2024","Wed Jan 17 01:44:25 GMT 2024","0","firefox","","Basic validations","","","navigate to login page",""
"passed","Wed Jan 17 01:44:21 GMT 2024","Wed Jan 17 01:44:33 GMT 2024","11785","firefox","","Key Presses","","","special key press",""
"failed","Wed Jan 17 01:44:06 GMT 2024","Wed Jan 17 01:44:07 GMT 2024","317","chromium","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"failed","Wed Jan 17 01:44:34 GMT 2024","Wed Jan 17 01:44:41 GMT 2024","7098","webkit","","UI E2E Tests - forced to fail","","","page image does not match",""
"failed","Wed Jan 17 01:44:32 GMT 2024","Wed Jan 17 01:44:41 GMT 2024","9163","webkit","","UI E2E Tests - forced to fail","","","text does not match",""
"failed","Wed Jan 17 01:44:30 GMT 2024","Wed Jan 17 01:44:30 GMT 2024","434","webkit","","API Tests - forced to fail","","","status does not match",""
"passed","Wed Jan 17 01:44:25 GMT 2024","Wed Jan 17 01:44:30 GMT 2024","5210","firefox","","Login","","","login - valid credentials",""
"passed","Wed Jan 17 01:44:32 GMT 2024","Wed Jan 17 01:44:38 GMT 2024","6371","webkit","","Github Environment Tests","","","Github Variables",""
"passed","Wed Jan 17 01:44:32 GMT 2024","Wed Jan 17 01:44:39 GMT 2024","6655","webkit","","Github Environment Tests","","","Github Secrets",""
"passed","Wed Jan 17 01:44:38 GMT 2024","Wed Jan 17 01:44:41 GMT 2024","2855","webkit","","Login","","","login - valid credentials",""
"passed","Wed Jan 17 01:44:07 GMT 2024","Wed Jan 17 01:44:18 GMT 2024","11645","chromium","","Visual Test","","","page screenshot",""
"passed","Wed Jan 17 01:44:14 GMT 2024","Wed Jan 17 01:44:14 GMT 2024","304","firefox","","API Tests","","","invalid movie id - json & toEqual",""
"failed","Wed Jan 17 01:44:06 GMT 2024","Wed Jan 17 01:44:13 GMT 2024","6236","chromium","","UI E2E Tests - forced to fail","","","element image does not match",""
"failed","Wed Jan 17 01:44:13 GMT 2024","Wed Jan 17 01:44:27 GMT 2024","13633","firefox","","UI E2E Tests - forced to fail","","","text does not match",""
"skipped","Wed Jan 17 01:44:39 GMT 2024","Wed Jan 17 01:44:39 GMT 2024","1","webkit","","Basic validations","","","has title",""
"passed","Wed Jan 17 01:44:06 GMT 2024","Wed Jan 17 01:44:07 GMT 2024","319","chromium","","API Tests","","","invalid movie id - array & toContainEqual",""
"skipped","Wed Jan 17 01:44:39 GMT 2024","Wed Jan 17 01:44:39 GMT 2024","2","webkit","","Basic validations","","","navigate to login page",""
"passed","Wed Jan 17 01:44:11 GMT 2024","Wed Jan 17 01:44:13 GMT 2024","2478","chromium","","Login","","","login - valid credentials",""
"passed","Wed Jan 17 01:44:29 GMT 2024","Wed Jan 17 01:44:30 GMT 2024","801","webkit","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Wed Jan 17 01:44:31 GMT 2024","Wed Jan 17 01:44:38 GMT 2024","7198","webkit","","Visual Test","","","element screenshot",""
"passed","Wed Jan 17 01:44:30 GMT 2024","Wed Jan 17 01:44:31 GMT 2024","289","webkit","","API Tests","","","invalid movie id - array & toContainEqual",""
"failed","Wed Jan 17 01:44:15 GMT 2024","Wed Jan 17 01:44:15 GMT 2024","347","firefox","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Wed Jan 17 01:44:08 GMT 2024","Wed Jan 17 01:44:11 GMT 2024","2635","chromium","","Github Environment Tests","","","Github Variables",""
"failed","Wed Jan 17 01:44:14 GMT 2024","Wed Jan 17 01:44:15 GMT 2024","407","firefox","","API Tests - forced to fail","","","status does not match",""
"passed","Wed Jan 17 01:44:16 GMT 2024","Wed Jan 17 01:44:27 GMT 2024","10849","firefox","","Visual Test","","","element screenshot",""
"passed","Wed Jan 17 01:44:14 GMT 2024","Wed Jan 17 01:44:20 GMT 2024","5804","firefox","","Github Environment Tests","","","Github Secrets",""
"failed","Wed Jan 17 01:44:06 GMT 2024","Wed Jan 17 01:44:07 GMT 2024","304","chromium","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"skipped","Wed Jan 17 01:44:11 GMT 2024","Wed Jan 17 01:44:11 GMT 2024","0","chromium","","Basic validations","","","has title",""
"passed","Wed Jan 17 01:44:08 GMT 2024","Wed Jan 17 01:44:11 GMT 2024","3218","chromium","","Visual Test","","","element screenshot",""
"failed","Wed Jan 17 01:44:30 GMT 2024","Wed Jan 17 01:44:30 GMT 2024","122","webkit","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Wed Jan 17 01:44:08 GMT 2024","Wed Jan 17 01:44:12 GMT 2024","3519","chromium","","Github Environment Tests","","","Github Secrets",""
"failed","Wed Jan 17 01:44:06 GMT 2024","Wed Jan 17 01:44:07 GMT 2024","274","chromium","","API Tests - forced to fail","","","status does not match",""
"passed","Wed Jan 17 01:44:38 GMT 2024","Wed Jan 17 01:44:41 GMT 2024","2771","webkit","","Key Presses","","","common key press",""
"passed","Wed Jan 17 01:44:06 GMT 2024","Wed Jan 17 01:44:07 GMT 2024","350","chromium","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Wed Jan 17 01:44:29 GMT 2024","Wed Jan 17 01:44:30 GMT 2024","489","webkit","","API Tests","","","fetch valid movie ",""
"failed","Wed Jan 17 01:44:14 GMT 2024","Wed Jan 17 01:44:28 GMT 2024","13887","firefox","","UI E2E Tests - forced to fail","","","page image does not match",""
"passed","Wed Jan 17 01:44:06 GMT 2024","Wed Jan 17 01:44:07 GMT 2024","247","chromium","","API Tests","","","fetch valid movie ",""
"failed","Wed Jan 17 01:44:14 GMT 2024","Wed Jan 17 01:44:15 GMT 2024","312","firefox","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Wed Jan 17 01:44:20 GMT 2024","Wed Jan 17 01:44:25 GMT 2024","4417","firefox","","Key Presses","","","common key press",""
"passed","Wed Jan 17 01:44:35 GMT 2024","Wed Jan 17 01:44:40 GMT 2024","5295","webkit","","Key Presses","","","special key press",""
"failed","Wed Jan 17 01:44:30 GMT 2024","Wed Jan 17 01:44:30 GMT 2024","77","webkit","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Wed Jan 17 01:44:07 GMT 2024","Wed Jan 17 01:44:11 GMT 2024","4141","chromium","","Key Presses","","","special key press",""
"passed","Wed Jan 17 01:44:14 GMT 2024","Wed Jan 17 01:44:14 GMT 2024","278","firefox","","API Tests","","","invalid movie id - array & toContainEqual",""
