"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Oct 01 01:46:42 GMT 2023","Sun Oct 01 01:46:42 GMT 2023","361","firefox","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Sun Oct 01 01:47:00 GMT 2023","Sun Oct 01 01:47:14 GMT 2023","13148","firefox","","Visual Test","","","page screenshot",""
"failed","Sun Oct 01 01:46:24 GMT 2023","Sun Oct 01 01:46:24 GMT 2023","204","chromium","","API Tests - forced to fail","","","status does not match",""
"failed","Sun Oct 01 01:47:21 GMT 2023","Sun Oct 01 01:47:30 GMT 2023","8440","webkit","","UI E2E Tests - forced to fail","","","page image does not match",""
"passed","Sun Oct 01 01:47:34 GMT 2023","Sun Oct 01 01:47:40 GMT 2023","6399","webkit","","Key Presses","","","special key press",""
"passed","Sun Oct 01 01:47:19 GMT 2023","Sun Oct 01 01:47:19 GMT 2023","381","webkit","","API Tests","","","invalid movie id - array & toContainEqual",""
"passed","Sun Oct 01 01:46:59 GMT 2023","Sun Oct 01 01:47:12 GMT 2023","13186","firefox","","Visual Test","","","element screenshot",""
"passed","Sun Oct 01 01:47:31 GMT 2023","Sun Oct 01 01:47:38 GMT 2023","7116","webkit","","Visual Test","","","element screenshot",""
"skipped","Sun Oct 01 01:46:38 GMT 2023","Sun Oct 01 01:46:38 GMT 2023","4","chromium","","Basic validations","","","navigate to login page",""
"passed","Sun Oct 01 01:47:03 GMT 2023","Sun Oct 01 01:47:17 GMT 2023","14270","firefox","","Key Presses","","","special key press",""
"failed","Sun Oct 01 01:46:24 GMT 2023","Sun Oct 01 01:46:24 GMT 2023","125","chromium","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Sun Oct 01 01:47:12 GMT 2023","Sun Oct 01 01:47:19 GMT 2023","6348","firefox","","Login","","","login - valid credentials",""
"passed","Sun Oct 01 01:46:30 GMT 2023","Sun Oct 01 01:46:32 GMT 2023","1920","chromium","","Github Environment Tests","","","Github Variables",""
"failed","Sun Oct 01 01:47:23 GMT 2023","Sun Oct 01 01:47:23 GMT 2023","284","webkit","","API Tests - forced to fail","","","status does not match",""
"passed","Sun Oct 01 01:47:38 GMT 2023","Sun Oct 01 01:47:42 GMT 2023","3953","webkit","","Login","","","login - valid credentials",""
"passed","Sun Oct 01 01:46:57 GMT 2023","Sun Oct 01 01:47:07 GMT 2023","9536","firefox","","Github Environment Tests","","","Github Variables",""
"passed","Sun Oct 01 01:47:31 GMT 2023","Sun Oct 01 01:47:37 GMT 2023","5802","webkit","","Github Environment Tests","","","Github Variables",""
"passed","Sun Oct 01 01:46:24 GMT 2023","Sun Oct 01 01:46:24 GMT 2023","398","chromium","","API Tests","","","invalid movie id - array & toContainEqual",""
"passed","Sun Oct 01 01:46:40 GMT 2023","Sun Oct 01 01:46:40 GMT 2023","225","firefox","","API Tests","","","fetch valid movie ",""
"passed","Sun Oct 01 01:47:37 GMT 2023","Sun Oct 01 01:47:41 GMT 2023","4088","webkit","","Key Presses","","","common key press",""
"failed","Sun Oct 01 01:46:42 GMT 2023","Sun Oct 01 01:46:55 GMT 2023","13247","firefox","","UI E2E Tests - forced to fail","","","text does not match",""
