"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3939","common key press","webkit","Wed Apr 30 02:21:16 GMT 2025","passed","Wed Apr 30 02:21:20 GMT 2025","Key Presses","","",""
"","5164","common key press","firefox","Wed Apr 30 02:20:58 GMT 2025","passed","Wed Apr 30 02:21:04 GMT 2025","Key Presses","","",""
"","407","invalid movie id - array & toContainEqual","chromium","Wed Apr 30 02:20:41 GMT 2025","passed","Wed Apr 30 02:20:42 GMT 2025","API Tests","","",""
"","10791","page screenshot","webkit","Wed Apr 30 02:21:11 GMT 2025","passed","Wed Apr 30 02:21:22 GMT 2025","Visual Test","","",""
"","3940","login - valid credentials","webkit","Wed Apr 30 02:21:16 GMT 2025","passed","Wed Apr 30 02:21:20 GMT 2025","Login","","",""
"","191","status does not match","firefox","Wed Apr 30 02:20:50 GMT 2025","failed","Wed Apr 30 02:20:50 GMT 2025","API Tests - forced to fail","","",""
"","283","status does not match","webkit","Wed Apr 30 02:21:10 GMT 2025","failed","Wed Apr 30 02:21:10 GMT 2025","API Tests - forced to fail","","",""
"","441","invalid movie id - json & toEqual","firefox","Wed Apr 30 02:20:51 GMT 2025","passed","Wed Apr 30 02:20:51 GMT 2025","API Tests","","",""
"","301","invalid movie id - array & toContainEqual","firefox","Wed Apr 30 02:20:50 GMT 2025","passed","Wed Apr 30 02:20:50 GMT 2025","API Tests","","",""
"","4771","Github Variables","chromium","Wed Apr 30 02:20:42 GMT 2025","passed","Wed Apr 30 02:20:47 GMT 2025","Github Environment Tests","","",""
"","4","has title","firefox","Wed Apr 30 02:21:03 GMT 2025","skipped","Wed Apr 30 02:21:03 GMT 2025","Basic validations","","",""
"","329","invalid movie id - array & toContainEqual","webkit","Wed Apr 30 02:21:09 GMT 2025","passed","Wed Apr 30 02:21:09 GMT 2025","API Tests","","",""
"","5","navigate to login page","firefox","Wed Apr 30 02:21:03 GMT 2025","skipped","Wed Apr 30 02:21:03 GMT 2025","Basic validations","","",""
"","17457","element image does not match","firefox","Wed Apr 30 02:20:52 GMT 2025","failed","Wed Apr 30 02:21:09 GMT 2025","UI E2E Tests - forced to fail","","",""
"","0","navigate to login page","chromium","Wed Apr 30 02:20:48 GMT 2025","skipped","Wed Apr 30 02:20:48 GMT 2025","Basic validations","","",""
"","5394","special key press","chromium","Wed Apr 30 02:20:42 GMT 2025","passed","Wed Apr 30 02:20:48 GMT 2025","Key Presses","","",""
"","7281","Github Secrets","firefox","Wed Apr 30 02:20:51 GMT 2025","passed","Wed Apr 30 02:20:58 GMT 2025","Github Environment Tests","","",""
"","9037","text does not match","chromium","Wed Apr 30 02:20:41 GMT 2025","failed","Wed Apr 30 02:20:50 GMT 2025","UI E2E Tests - forced to fail","","",""
"","525","key does not exist - json & toEqual","chromium","Wed Apr 30 02:20:41 GMT 2025","failed","Wed Apr 30 02:20:42 GMT 2025","API Tests - forced to fail","","",""
"","2880","login - valid credentials","chromium","Wed Apr 30 02:20:47 GMT 2025","passed","Wed Apr 30 02:20:50 GMT 2025","Login","","",""
"","433","status does not match","chromium","Wed Apr 30 02:20:41 GMT 2025","failed","Wed Apr 30 02:20:42 GMT 2025","API Tests - forced to fail","","",""
"","2282","common key press","chromium","Wed Apr 30 02:20:47 GMT 2025","passed","Wed Apr 30 02:20:49 GMT 2025","Key Presses","","",""
"","9488","page image does not match","chromium","Wed Apr 30 02:20:42 GMT 2025","failed","Wed Apr 30 02:20:51 GMT 2025","UI E2E Tests - forced to fail","","",""
"","5850","Github Secrets","chromium","Wed Apr 30 02:20:42 GMT 2025","passed","Wed Apr 30 02:20:47 GMT 2025","Github Environment Tests","","",""
"","308","fetch valid movie ","webkit","Wed Apr 30 02:21:09 GMT 2025","passed","Wed Apr 30 02:21:09 GMT 2025","API Tests","","",""
"","10294","element screenshot","firefox","Wed Apr 30 02:20:53 GMT 2025","passed","Wed Apr 30 02:21:03 GMT 2025","Visual Test","","",""
"","10225","Github Variables","firefox","Wed Apr 30 02:20:53 GMT 2025","passed","Wed Apr 30 02:21:03 GMT 2025","Github Environment Tests","","",""
"","14644","page screenshot","firefox","Wed Apr 30 02:20:53 GMT 2025","passed","Wed Apr 30 02:21:08 GMT 2025","Visual Test","","",""
"","1","has title","chromium","Wed Apr 30 02:20:48 GMT 2025","skipped","Wed Apr 30 02:20:48 GMT 2025","Basic validations","","",""
"","9437","page image does not match","webkit","Wed Apr 30 02:21:10 GMT 2025","failed","Wed Apr 30 02:21:19 GMT 2025","UI E2E Tests - forced to fail","","",""
"","347","key does not exist - json & toEqual","webkit","Wed Apr 30 02:21:11 GMT 2025","failed","Wed Apr 30 02:21:11 GMT 2025","API Tests - forced to fail","","",""
"","5912","element screenshot","chromium","Wed Apr 30 02:20:42 GMT 2025","passed","Wed Apr 30 02:20:48 GMT 2025","Visual Test","","",""
"","6718","Github Secrets","webkit","Wed Apr 30 02:21:09 GMT 2025","passed","Wed Apr 30 02:21:16 GMT 2025","Github Environment Tests","","",""
"","0","has title","webkit","Wed Apr 30 02:21:17 GMT 2025","skipped","Wed Apr 30 02:21:17 GMT 2025","Basic validations","","",""
"","342","key does not exist - json & toEqual","firefox","Wed Apr 30 02:20:51 GMT 2025","failed","Wed Apr 30 02:20:52 GMT 2025","API Tests - forced to fail","","",""
"","10412","text does not match","webkit","Wed Apr 30 02:21:09 GMT 2025","failed","Wed Apr 30 02:21:19 GMT 2025","UI E2E Tests - forced to fail","","",""
"","5918","Github Variables","webkit","Wed Apr 30 02:21:10 GMT 2025","passed","Wed Apr 30 02:21:16 GMT 2025","Github Environment Tests","","",""
"","12855","page screenshot","chromium","Wed Apr 30 02:20:42 GMT 2025","passed","Wed Apr 30 02:20:54 GMT 2025","Visual Test","","",""
"","430","invalid movie id - json & toEqual","webkit","Wed Apr 30 02:21:08 GMT 2025","passed","Wed Apr 30 02:21:09 GMT 2025","API Tests","","",""
"","10961","element image does not match","webkit","Wed Apr 30 02:21:09 GMT 2025","failed","Wed Apr 30 02:21:20 GMT 2025","UI E2E Tests - forced to fail","","",""
"","4285","login - valid credentials","firefox","Wed Apr 30 02:21:03 GMT 2025","passed","Wed Apr 30 02:21:07 GMT 2025","Login","","",""
"","532","non matching key value pair - array & toContainEqual","chromium","Wed Apr 30 02:20:41 GMT 2025","failed","Wed Apr 30 02:20:42 GMT 2025","API Tests - forced to fail","","",""
"","320","non matching key value pair - array & toContainEqual","webkit","Wed Apr 30 02:21:10 GMT 2025","failed","Wed Apr 30 02:21:11 GMT 2025","API Tests - forced to fail","","",""
"","359","invalid movie id - json & toEqual","chromium","Wed Apr 30 02:20:41 GMT 2025","passed","Wed Apr 30 02:20:42 GMT 2025","API Tests","","",""
"","11603","special key press","firefox","Wed Apr 30 02:20:57 GMT 2025","passed","Wed Apr 30 02:21:08 GMT 2025","Key Presses","","",""
"","6022","special key press","webkit","Wed Apr 30 02:21:12 GMT 2025","passed","Wed Apr 30 02:21:18 GMT 2025","Key Presses","","",""
"","368","non matching key value pair - array & toContainEqual","firefox","Wed Apr 30 02:20:51 GMT 2025","failed","Wed Apr 30 02:20:52 GMT 2025","API Tests - forced to fail","","",""
"","10100","element image does not match","chromium","Wed Apr 30 02:20:41 GMT 2025","failed","Wed Apr 30 02:20:51 GMT 2025","UI E2E Tests - forced to fail","","",""
"","588","fetch valid movie ","chromium","Wed Apr 30 02:20:41 GMT 2025","passed","Wed Apr 30 02:20:42 GMT 2025","API Tests","","",""
"","0","navigate to login page","webkit","Wed Apr 30 02:21:17 GMT 2025","skipped","Wed Apr 30 02:21:17 GMT 2025","Basic validations","","",""
"","16731","text does not match","firefox","Wed Apr 30 02:20:50 GMT 2025","failed","Wed Apr 30 02:21:07 GMT 2025","UI E2E Tests - forced to fail","","",""
"","16931","page image does not match","firefox","Wed Apr 30 02:20:52 GMT 2025","failed","Wed Apr 30 02:21:09 GMT 2025","UI E2E Tests - forced to fail","","",""
"","498","fetch valid movie ","firefox","Wed Apr 30 02:20:49 GMT 2025","passed","Wed Apr 30 02:20:50 GMT 2025","API Tests","","",""
"","5515","element screenshot","webkit","Wed Apr 30 02:21:11 GMT 2025","passed","Wed Apr 30 02:21:17 GMT 2025","Visual Test","","",""
