"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","has title","webkit","Sun Aug 03 03:01:51 GMT 2025","skipped","Sun Aug 03 03:01:51 GMT 2025","Basic validations","","",""
"","5781","special key press","webkit","Sun Aug 03 03:01:46 GMT 2025","passed","Sun Aug 03 03:01:52 GMT 2025","Key Presses","","",""
"","4529","common key press","firefox","Sun Aug 03 03:01:37 GMT 2025","passed","Sun Aug 03 03:01:42 GMT 2025","Key Presses","","",""
"","4686","Github Secrets","webkit","Sun Aug 03 03:01:46 GMT 2025","passed","Sun Aug 03 03:01:51 GMT 2025","Github Environment Tests","","",""
"","491","key does not exist - json & toEqual","chromium","Sun Aug 03 03:01:18 GMT 2025","failed","Sun Aug 03 03:01:19 GMT 2025","API Tests - forced to fail","","",""
"","9533","page screenshot","webkit","Sun Aug 03 03:01:47 GMT 2025","passed","Sun Aug 03 03:01:56 GMT 2025","Visual Test","","",""
"","8028","text does not match","chromium","Sun Aug 03 03:01:18 GMT 2025","failed","Sun Aug 03 03:01:26 GMT 2025","UI E2E Tests - forced to fail","","",""
"","0","navigate to login page","webkit","Sun Aug 03 03:01:51 GMT 2025","skipped","Sun Aug 03 03:01:51 GMT 2025","Basic validations","","",""
"","472","invalid movie id - array & toContainEqual","chromium","Sun Aug 03 03:01:18 GMT 2025","passed","Sun Aug 03 03:01:19 GMT 2025","API Tests","","",""
"","314","fetch valid movie ","webkit","Sun Aug 03 03:01:43 GMT 2025","passed","Sun Aug 03 03:01:44 GMT 2025","API Tests","","",""
"","464","status does not match","chromium","Sun Aug 03 03:01:19 GMT 2025","failed","Sun Aug 03 03:01:19 GMT 2025","API Tests - forced to fail","","",""
"","5454","special key press","chromium","Sun Aug 03 03:01:20 GMT 2025","passed","Sun Aug 03 03:01:25 GMT 2025","Key Presses","","",""
"","13959","text does not match","firefox","Sun Aug 03 03:01:28 GMT 2025","failed","Sun Aug 03 03:01:42 GMT 2025","UI E2E Tests - forced to fail","","",""
"","10587","element screenshot","firefox","Sun Aug 03 03:01:29 GMT 2025","passed","Sun Aug 03 03:01:40 GMT 2025","Visual Test","","",""
"","425","fetch valid movie ","chromium","Sun Aug 03 03:01:18 GMT 2025","passed","Sun Aug 03 03:01:19 GMT 2025","API Tests","","",""
"","15211","page screenshot","firefox","Sun Aug 03 03:01:29 GMT 2025","passed","Sun Aug 03 03:01:44 GMT 2025","Visual Test","","",""
"","3592","common key press","webkit","Sun Aug 03 03:01:50 GMT 2025","passed","Sun Aug 03 03:01:54 GMT 2025","Key Presses","","",""
"","8135","page image does not match","chromium","Sun Aug 03 03:01:19 GMT 2025","failed","Sun Aug 03 03:01:27 GMT 2025","UI E2E Tests - forced to fail","","",""
"","3853","Github Variables","webkit","Sun Aug 03 03:01:46 GMT 2025","passed","Sun Aug 03 03:01:50 GMT 2025","Github Environment Tests","","",""
"","4562","login - valid credentials","firefox","Sun Aug 03 03:01:39 GMT 2025","passed","Sun Aug 03 03:01:44 GMT 2025","Login","","",""
"","9818","page image does not match","webkit","Sun Aug 03 03:01:44 GMT 2025","failed","Sun Aug 03 03:01:54 GMT 2025","UI E2E Tests - forced to fail","","",""
"","266","invalid movie id - json & toEqual","webkit","Sun Aug 03 03:01:45 GMT 2025","passed","Sun Aug 03 03:01:46 GMT 2025","API Tests","","",""
"","14742","page image does not match","firefox","Sun Aug 03 03:01:27 GMT 2025","failed","Sun Aug 03 03:01:42 GMT 2025","UI E2E Tests - forced to fail","","",""
"","274","key does not exist - json & toEqual","firefox","Sun Aug 03 03:01:28 GMT 2025","failed","Sun Aug 03 03:01:28 GMT 2025","API Tests - forced to fail","","",""
"","4943","Github Secrets","chromium","Sun Aug 03 03:01:19 GMT 2025","passed","Sun Aug 03 03:01:24 GMT 2025","Github Environment Tests","","",""
"","415","fetch valid movie ","firefox","Sun Aug 03 03:01:26 GMT 2025","passed","Sun Aug 03 03:01:26 GMT 2025","API Tests","","",""
"","9759","special key press","firefox","Sun Aug 03 03:01:34 GMT 2025","passed","Sun Aug 03 03:01:44 GMT 2025","Key Presses","","",""
"","0","has title","chromium","Sun Aug 03 03:01:25 GMT 2025","skipped","Sun Aug 03 03:01:25 GMT 2025","Basic validations","","",""
"","338","status does not match","firefox","Sun Aug 03 03:01:28 GMT 2025","failed","Sun Aug 03 03:01:28 GMT 2025","API Tests - forced to fail","","",""
