"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Mar 24 01:42:08 GMT 2024","Sun Mar 24 01:42:08 GMT 2024","9","webkit","","Basic validations","","","navigate to login page",""
"skipped","Sun Mar 24 01:41:52 GMT 2024","Sun Mar 24 01:41:52 GMT 2024","0","firefox","","Basic validations","","","navigate to login page",""
"passed","Sun Mar 24 01:41:38 GMT 2024","Sun Mar 24 01:41:40 GMT 2024","2690","chromium","","Key Presses","","","common key press",""
"passed","Sun Mar 24 01:41:59 GMT 2024","Sun Mar 24 01:42:11 GMT 2024","12116","webkit","","Visual Test","","","page screenshot",""
"failed","Sun Mar 24 01:41:33 GMT 2024","Sun Mar 24 01:41:33 GMT 2024","347","chromium","","API Tests - forced to fail","","","status does not match",""
"skipped","Sun Mar 24 01:41:38 GMT 2024","Sun Mar 24 01:41:38 GMT 2024","0","chromium","","Basic validations","","","navigate to login page",""
"passed","Sun Mar 24 01:41:42 GMT 2024","Sun Mar 24 01:41:52 GMT 2024","9833","firefox","","Github Environment Tests","","","Github Variables",""
"failed","Sun Mar 24 01:41:41 GMT 2024","Sun Mar 24 01:41:42 GMT 2024","278","firefox","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Sun Mar 24 01:41:58 GMT 2024","Sun Mar 24 01:41:58 GMT 2024","345","webkit","","API Tests","","","invalid movie id - array & toContainEqual",""
"failed","Sun Mar 24 01:41:33 GMT 2024","Sun Mar 24 01:41:40 GMT 2024","7105","chromium","","UI E2E Tests - forced to fail","","","text does not match",""
"failed","Sun Mar 24 01:41:34 GMT 2024","Sun Mar 24 01:41:41 GMT 2024","6305","chromium","","UI E2E Tests - forced to fail","","","page image does not match",""
"failed","Sun Mar 24 01:41:33 GMT 2024","Sun Mar 24 01:41:33 GMT 2024","193","chromium","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"failed","Sun Mar 24 01:41:40 GMT 2024","Sun Mar 24 01:41:40 GMT 2024","156","firefox","","API Tests - forced to fail","","","status does not match",""
"passed","Sun Mar 24 01:42:01 GMT 2024","Sun Mar 24 01:42:06 GMT 2024","5005","webkit","","Github Environment Tests","","","Github Variables",""
"failed","Sun Mar 24 01:41:42 GMT 2024","Sun Mar 24 01:41:57 GMT 2024","15327","firefox","","UI E2E Tests - forced to fail","","","element image does not match",""
"passed","Sun Mar 24 01:41:33 GMT 2024","Sun Mar 24 01:41:33 GMT 2024","358","chromium","","API Tests","","","fetch valid movie ",""
"failed","Sun Mar 24 01:41:59 GMT 2024","Sun Mar 24 01:41:59 GMT 2024","246","webkit","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Sun Mar 24 01:41:52 GMT 2024","Sun Mar 24 01:41:58 GMT 2024","5858","firefox","","Login","","","login - valid credentials",""
"skipped","Sun Mar 24 01:41:38 GMT 2024","Sun Mar 24 01:41:38 GMT 2024","1","chromium","","Basic validations","","","has title",""
"passed","Sun Mar 24 01:41:43 GMT 2024","Sun Mar 24 01:41:52 GMT 2024","9514","firefox","","Visual Test","","","element screenshot",""
"failed","Sun Mar 24 01:42:02 GMT 2024","Sun Mar 24 01:42:09 GMT 2024","7642","webkit","","UI E2E Tests - forced to fail","","","page image does not match",""
"passed","Sun Mar 24 01:41:35 GMT 2024","Sun Mar 24 01:41:38 GMT 2024","3055","chromium","","Github Environment Tests","","","Github Variables",""
"passed","Sun Mar 24 01:41:59 GMT 2024","Sun Mar 24 01:41:59 GMT 2024","386","webkit","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Sun Mar 24 01:41:39 GMT 2024","Sun Mar 24 01:41:40 GMT 2024","314","firefox","","API Tests","","","fetch valid movie ",""
"failed","Sun Mar 24 01:41:33 GMT 2024","Sun Mar 24 01:41:33 GMT 2024","241","chromium","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Sun Mar 24 01:41:40 GMT 2024","Sun Mar 24 01:41:40 GMT 2024","173","firefox","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Sun Mar 24 01:41:33 GMT 2024","Sun Mar 24 01:41:38 GMT 2024","4503","chromium","","Github Environment Tests","","","Github Secrets",""
"passed","Sun Mar 24 01:41:57 GMT 2024","Sun Mar 24 01:41:58 GMT 2024","603","webkit","","API Tests","","","fetch valid movie ",""
"passed","Sun Mar 24 01:41:43 GMT 2024","Sun Mar 24 01:41:59 GMT 2024","15812","firefox","","Visual Test","","","page screenshot",""
"passed","Sun Mar 24 01:41:33 GMT 2024","Sun Mar 24 01:41:38 GMT 2024","4216","chromium","","Visual Test","","","element screenshot",""
"passed","Sun Mar 24 01:41:42 GMT 2024","Sun Mar 24 01:41:52 GMT 2024","10281","firefox","","Github Environment Tests","","","Github Secrets",""
"failed","Sun Mar 24 01:41:40 GMT 2024","Sun Mar 24 01:41:40 GMT 2024","137","firefox","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Sun Mar 24 01:42:06 GMT 2024","Sun Mar 24 01:42:09 GMT 2024","3460","webkit","","Key Presses","","","common key press",""
"passed","Sun Mar 24 01:41:33 GMT 2024","Sun Mar 24 01:41:33 GMT 2024","504","chromium","","API Tests","","","invalid movie id - array & toContainEqual",""
"passed","Sun Mar 24 01:42:03 GMT 2024","Sun Mar 24 01:42:09 GMT 2024","5628","webkit","","Visual Test","","","element screenshot",""
"failed","Sun Mar 24 01:41:33 GMT 2024","Sun Mar 24 01:41:40 GMT 2024","6581","chromium","","UI E2E Tests - forced to fail","","","element image does not match",""
"failed","Sun Mar 24 01:41:41 GMT 2024","Sun Mar 24 01:41:58 GMT 2024","16549","firefox","","UI E2E Tests - forced to fail","","","page image does not match",""
"failed","Sun Mar 24 01:42:01 GMT 2024","Sun Mar 24 01:42:01 GMT 2024","289","webkit","","API Tests - forced to fail","","","status does not match",""
"passed","Sun Mar 24 01:41:38 GMT 2024","Sun Mar 24 01:41:41 GMT 2024","3073","chromium","","Login","","","login - valid credentials",""
"failed","Sun Mar 24 01:41:58 GMT 2024","Sun Mar 24 01:42:09 GMT 2024","10907","webkit","","UI E2E Tests - forced to fail","","","element image does not match",""
"passed","Sun Mar 24 01:41:48 GMT 2024","Sun Mar 24 01:41:59 GMT 2024","11635","firefox","","Key Presses","","","special key press",""
"passed","Sun Mar 24 01:42:07 GMT 2024","Sun Mar 24 01:42:10 GMT 2024","3483","webkit","","Login","","","login - valid credentials",""
"failed","Sun Mar 24 01:41:58 GMT 2024","Sun Mar 24 01:41:58 GMT 2024","256","webkit","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Sun Mar 24 01:41:34 GMT 2024","Sun Mar 24 01:41:38 GMT 2024","3698","chromium","","Key Presses","","","special key press",""
"skipped","Sun Mar 24 01:42:08 GMT 2024","Sun Mar 24 01:42:08 GMT 2024","13","webkit","","Basic validations","","","has title",""
"passed","Sun Mar 24 01:41:33 GMT 2024","Sun Mar 24 01:41:45 GMT 2024","11680","chromium","","Visual Test","","","page screenshot",""
"passed","Sun Mar 24 01:41:33 GMT 2024","Sun Mar 24 01:41:33 GMT 2024","369","chromium","","API Tests","","","invalid movie id - json & toEqual",""
"skipped","Sun Mar 24 01:41:52 GMT 2024","Sun Mar 24 01:41:52 GMT 2024","0","firefox","","Basic validations","","","has title",""
"failed","Sun Mar 24 01:42:00 GMT 2024","Sun Mar 24 01:42:09 GMT 2024","9019","webkit","","UI E2E Tests - forced to fail","","","text does not match",""
"passed","Sun Mar 24 01:41:52 GMT 2024","Sun Mar 24 01:41:57 GMT 2024","5273","firefox","","Key Presses","","","common key press",""
"failed","Sun Mar 24 01:41:42 GMT 2024","Sun Mar 24 01:41:55 GMT 2024","13574","firefox","","UI E2E Tests - forced to fail","","","text does not match",""
