"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 19 01:46:46 GMT 2023","Sun Nov 19 01:47:00 GMT 2023","14138","firefox","","UI E2E Tests - forced to fail","","","text does not match",""
"failed","Sun Nov 19 01:47:05 GMT 2023","Sun Nov 19 01:47:05 GMT 2023","514","webkit","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"skipped","Sun Nov 19 01:47:13 GMT 2023","Sun Nov 19 01:47:13 GMT 2023","2","webkit","","Basic validations","","","navigate to login page",""
"passed","Sun Nov 19 01:46:45 GMT 2023","Sun Nov 19 01:46:46 GMT 2023","396","firefox","","API Tests","","","invalid movie id - array & toContainEqual",""
"passed","Sun Nov 19 01:46:39 GMT 2023","Sun Nov 19 01:46:39 GMT 2023","414","chromium","","API Tests","","","invalid movie id - json & toEqual",""
"failed","Sun Nov 19 01:46:47 GMT 2023","Sun Nov 19 01:47:02 GMT 2023","15323","firefox","","UI E2E Tests - forced to fail","","","element image does not match",""
"passed","Sun Nov 19 01:46:54 GMT 2023","Sun Nov 19 01:46:59 GMT 2023","4839","firefox","","Key Presses","","","common key press",""
"failed","Sun Nov 19 01:47:04 GMT 2023","Sun Nov 19 01:47:12 GMT 2023","7952","webkit","","UI E2E Tests - forced to fail","","","element image does not match",""
"failed","Sun Nov 19 01:46:39 GMT 2023","Sun Nov 19 01:46:46 GMT 2023","6927","chromium","","UI E2E Tests - forced to fail","","","text does not match",""
"passed","Sun Nov 19 01:46:43 GMT 2023","Sun Nov 19 01:46:45 GMT 2023","1935","chromium","","Key Presses","","","common key press",""
"failed","Sun Nov 19 01:47:03 GMT 2023","Sun Nov 19 01:47:12 GMT 2023","9718","webkit","","UI E2E Tests - forced to fail","","","page image does not match",""
"failed","Sun Nov 19 01:46:39 GMT 2023","Sun Nov 19 01:46:39 GMT 2023","429","chromium","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Sun Nov 19 01:47:01 GMT 2023","Sun Nov 19 01:47:02 GMT 2023","582","webkit","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Sun Nov 19 01:47:07 GMT 2023","Sun Nov 19 01:47:13 GMT 2023","5276","webkit","","Visual Test","","","element screenshot",""
"skipped","Sun Nov 19 01:46:59 GMT 2023","Sun Nov 19 01:46:59 GMT 2023","4","firefox","","Basic validations","","","navigate to login page",""
"passed","Sun Nov 19 01:46:56 GMT 2023","Sun Nov 19 01:47:02 GMT 2023","5984","firefox","","Login","","","login - valid credentials",""
"skipped","Sun Nov 19 01:47:13 GMT 2023","Sun Nov 19 01:47:13 GMT 2023","2","webkit","","Basic validations","","","has title",""
"passed","Sun Nov 19 01:46:48 GMT 2023","Sun Nov 19 01:46:56 GMT 2023","8198","firefox","","Github Environment Tests","","","Github Secrets",""
"failed","Sun Nov 19 01:47:03 GMT 2023","Sun Nov 19 01:47:04 GMT 2023","263","webkit","","API Tests - forced to fail","","","status does not match",""
"passed","Sun Nov 19 01:46:40 GMT 2023","Sun Nov 19 01:46:43 GMT 2023","2745","chromium","","Github Environment Tests","","","Github Secrets",""
"failed","Sun Nov 19 01:46:48 GMT 2023","Sun Nov 19 01:47:02 GMT 2023","13969","firefox","","UI E2E Tests - forced to fail","","","page image does not match",""
"passed","Sun Nov 19 01:47:05 GMT 2023","Sun Nov 19 01:47:10 GMT 2023","4488","webkit","","Github Environment Tests","","","Github Variables",""
"passed","Sun Nov 19 01:46:45 GMT 2023","Sun Nov 19 01:46:45 GMT 2023","321","firefox","","API Tests","","","fetch valid movie ",""
"failed","Sun Nov 19 01:46:39 GMT 2023","Sun Nov 19 01:46:39 GMT 2023","368","chromium","","API Tests - forced to fail","","","status does not match",""
"skipped","Sun Nov 19 01:46:43 GMT 2023","Sun Nov 19 01:46:43 GMT 2023","4","chromium","","Basic validations","","","has title",""
"passed","Sun Nov 19 01:46:39 GMT 2023","Sun Nov 19 01:46:43 GMT 2023","3186","chromium","","Github Environment Tests","","","Github Variables",""
"passed","Sun Nov 19 01:47:10 GMT 2023","Sun Nov 19 01:47:13 GMT 2023","3574","webkit","","Login","","","login - valid credentials",""
"passed","Sun Nov 19 01:46:39 GMT 2023","Sun Nov 19 01:46:39 GMT 2023","410","chromium","","API Tests","","","fetch valid movie ",""
"passed","Sun Nov 19 01:47:09 GMT 2023","Sun Nov 19 01:47:13 GMT 2023","3311","webkit","","Key Presses","","","common key press",""
"failed","Sun Nov 19 01:46:39 GMT 2023","Sun Nov 19 01:46:46 GMT 2023","6895","chromium","","UI E2E Tests - forced to fail","","","page image does not match",""
"failed","Sun Nov 19 01:46:39 GMT 2023","Sun Nov 19 01:46:39 GMT 2023","450","chromium","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"skipped","Sun Nov 19 01:46:59 GMT 2023","Sun Nov 19 01:46:59 GMT 2023","0","firefox","","Basic validations","","","has title",""
"failed","Sun Nov 19 01:46:45 GMT 2023","Sun Nov 19 01:46:46 GMT 2023","104","firefox","","API Tests - forced to fail","","","status does not match",""
"failed","Sun Nov 19 01:47:04 GMT 2023","Sun Nov 19 01:47:13 GMT 2023","9105","webkit","","UI E2E Tests - forced to fail","","","text does not match",""
"passed","Sun Nov 19 01:46:40 GMT 2023","Sun Nov 19 01:46:52 GMT 2023","11335","chromium","","Visual Test","","","page screenshot",""
"failed","Sun Nov 19 01:47:02 GMT 2023","Sun Nov 19 01:47:02 GMT 2023","147","webkit","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"skipped","Sun Nov 19 01:46:43 GMT 2023","Sun Nov 19 01:46:43 GMT 2023","1","chromium","","Basic validations","","","navigate to login page",""
"passed","Sun Nov 19 01:46:49 GMT 2023","Sun Nov 19 01:47:05 GMT 2023","16120","firefox","","Visual Test","","","page screenshot",""
"passed","Sun Nov 19 01:46:46 GMT 2023","Sun Nov 19 01:46:46 GMT 2023","314","firefox","","API Tests","","","invalid movie id - json & toEqual",""
