"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","518","status does not match","firefox","Wed Feb 05 02:05:36 GMT 2025","failed","Wed Feb 05 02:05:36 GMT 2025","API Tests - forced to fail","","",""
"","3866","login - valid credentials","webkit","Wed Feb 05 02:06:00 GMT 2025","passed","Wed Feb 05 02:06:04 GMT 2025","Login","","",""
"","337","invalid movie id - array & toContainEqual","webkit","Wed Feb 05 02:05:53 GMT 2025","passed","Wed Feb 05 02:05:53 GMT 2025","API Tests","","",""
"","479","non matching key value pair - array & toContainEqual","webkit","Wed Feb 05 02:05:52 GMT 2025","failed","Wed Feb 05 02:05:52 GMT 2025","API Tests - forced to fail","","",""
"","578","key does not exist - json & toEqual","chromium","Wed Feb 05 02:05:27 GMT 2025","failed","Wed Feb 05 02:05:27 GMT 2025","API Tests - forced to fail","","",""
"","8146","page image does not match","chromium","Wed Feb 05 02:05:27 GMT 2025","failed","Wed Feb 05 02:05:35 GMT 2025","UI E2E Tests - forced to fail","","",""
"","11599","element screenshot","firefox","Wed Feb 05 02:05:38 GMT 2025","passed","Wed Feb 05 02:05:49 GMT 2025","Visual Test","","",""
"","390","fetch valid movie ","chromium","Wed Feb 05 02:05:27 GMT 2025","passed","Wed Feb 05 02:05:27 GMT 2025","API Tests","","",""
"","1","has title","firefox","Wed Feb 05 02:05:49 GMT 2025","skipped","Wed Feb 05 02:05:49 GMT 2025","Basic validations","","",""
"","9561","element image does not match","webkit","Wed Feb 05 02:05:54 GMT 2025","failed","Wed Feb 05 02:06:03 GMT 2025","UI E2E Tests - forced to fail","","",""
"","468","status does not match","chromium","Wed Feb 05 02:05:27 GMT 2025","failed","Wed Feb 05 02:05:27 GMT 2025","API Tests - forced to fail","","",""
"","4900","Github Variables","webkit","Wed Feb 05 02:05:56 GMT 2025","passed","Wed Feb 05 02:06:01 GMT 2025","Github Environment Tests","","",""
"","7316","text does not match","chromium","Wed Feb 05 02:05:27 GMT 2025","failed","Wed Feb 05 02:05:34 GMT 2025","UI E2E Tests - forced to fail","","",""
"","547","fetch valid movie ","firefox","Wed Feb 05 02:05:34 GMT 2025","passed","Wed Feb 05 02:05:35 GMT 2025","API Tests","","",""
"","267","invalid movie id - json & toEqual","webkit","Wed Feb 05 02:05:53 GMT 2025","passed","Wed Feb 05 02:05:53 GMT 2025","API Tests","","",""
"","2630","common key press","chromium","Wed Feb 05 02:05:31 GMT 2025","passed","Wed Feb 05 02:05:33 GMT 2025","Key Presses","","",""
