"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8027","text does not match","chromium","Sun Apr 05 03:46:48 UTC 2026","failed","Sun Apr 05 03:46:56 UTC 2026","UI E2E Tests - forced to fail","","",""
"","4506","common key press","webkit","Sun Apr 05 03:47:21 UTC 2026","passed","Sun Apr 05 03:47:26 UTC 2026","Key Presses","","",""
"","304","fetch valid movie ","chromium","Sun Apr 05 03:46:48 UTC 2026","passed","Sun Apr 05 03:46:48 UTC 2026","API Tests","","",""
"","433","invalid movie id - array & toContainEqual","chromium","Sun Apr 05 03:46:47 UTC 2026","passed","Sun Apr 05 03:46:48 UTC 2026","API Tests","","",""
"","5954","login - valid credentials","firefox","Sun Apr 05 03:47:07 UTC 2026","passed","Sun Apr 05 03:47:13 UTC 2026","Login","","",""
"","322","invalid movie id - json & toEqual","firefox","Sun Apr 05 03:46:57 UTC 2026","passed","Sun Apr 05 03:46:57 UTC 2026","API Tests","","",""
"","14936","text does not match","firefox","Sun Apr 05 03:46:57 UTC 2026","failed","Sun Apr 05 03:47:12 UTC 2026","UI E2E Tests - forced to fail","","",""
"","10921","special key press","firefox","Sun Apr 05 03:47:04 UTC 2026","passed","Sun Apr 05 03:47:15 UTC 2026","Key Presses","","",""
"","374","non matching key value pair - array & toContainEqual","webkit","Sun Apr 05 03:47:17 UTC 2026","failed","Sun Apr 05 03:47:17 UTC 2026","API Tests - forced to fail","","",""
"","6031","common key press","firefox","Sun Apr 05 03:47:05 UTC 2026","passed","Sun Apr 05 03:47:11 UTC 2026","Key Presses","","",""
"","427","key does not exist - json & toEqual","firefox","Sun Apr 05 03:46:57 UTC 2026","failed","Sun Apr 05 03:46:57 UTC 2026","API Tests - forced to fail","","",""
"","471","status does not match","webkit","Sun Apr 05 03:47:16 UTC 2026","failed","Sun Apr 05 03:47:16 UTC 2026","API Tests - forced to fail","","",""
"","0","has title","chromium","Sun Apr 05 03:46:54 UTC 2026","skipped","Sun Apr 05 03:46:54 UTC 2026","Basic validations","","",""
"","267","invalid movie id - array & toContainEqual","webkit","Sun Apr 05 03:47:15 UTC 2026","passed","Sun Apr 05 03:47:15 UTC 2026","API Tests","","",""
"","554","non matching key value pair - array & toContainEqual","chromium","Sun Apr 05 03:46:47 UTC 2026","failed","Sun Apr 05 03:46:48 UTC 2026","API Tests - forced to fail","","",""
"","4201","Github Variables","chromium","Sun Apr 05 03:46:48 UTC 2026","passed","Sun Apr 05 03:46:52 UTC 2026","Github Environment Tests","","",""
"","1","has title","firefox","Sun Apr 05 03:47:11 UTC 2026","skipped","Sun Apr 05 03:47:11 UTC 2026","Basic validations","","",""
"","5002","special key press","chromium","Sun Apr 05 03:46:49 UTC 2026","passed","Sun Apr 05 03:46:54 UTC 2026","Key Presses","","",""
"","0","navigate to login page","chromium","Sun Apr 05 03:46:54 UTC 2026","skipped","Sun Apr 05 03:46:54 UTC 2026","Basic validations","","",""
"","665","invalid movie id - json & toEqual","webkit","Sun Apr 05 03:47:14 UTC 2026","passed","Sun Apr 05 03:47:14 UTC 2026","API Tests","","",""
"","377","status does not match","chromium","Sun Apr 05 03:46:48 UTC 2026","failed","Sun Apr 05 03:46:48 UTC 2026","API Tests - forced to fail","","",""
"","482","key does not exist - json & toEqual","chromium","Sun Apr 05 03:46:48 UTC 2026","failed","Sun Apr 05 03:46:48 UTC 2026","API Tests - forced to fail","","",""
"","10684","text does not match","webkit","Sun Apr 05 03:47:14 UTC 2026","failed","Sun Apr 05 03:47:25 UTC 2026","UI E2E Tests - forced to fail","","",""
"","4204","Github Secrets","chromium","Sun Apr 05 03:46:48 UTC 2026","passed","Sun Apr 05 03:46:52 UTC 2026","Github Environment Tests","","",""
"","9230","element image does not match","chromium","Sun Apr 05 03:46:48 UTC 2026","failed","Sun Apr 05 03:46:57 UTC 2026","UI E2E Tests - forced to fail","","",""
"","367","fetch valid movie ","firefox","Sun Apr 05 03:46:55 UTC 2026","passed","Sun Apr 05 03:46:56 UTC 2026","API Tests","","",""
"","18292","element image does not match","firefox","Sun Apr 05 03:46:56 UTC 2026","failed","Sun Apr 05 03:47:14 UTC 2026","UI E2E Tests - forced to fail","","",""
"","15014","page screenshot","firefox","Sun Apr 05 03:46:59 UTC 2026","passed","Sun Apr 05 03:47:14 UTC 2026","Visual Test","","",""
"","16275","page image does not match","firefox","Sun Apr 05 03:46:58 UTC 2026","failed","Sun Apr 05 03:47:14 UTC 2026","UI E2E Tests - forced to fail","","",""
"","10558","element image does not match","webkit","Sun Apr 05 03:47:15 UTC 2026","failed","Sun Apr 05 03:47:26 UTC 2026","UI E2E Tests - forced to fail","","",""
"","4254","Github Secrets","webkit","Sun Apr 05 03:47:17 UTC 2026","passed","Sun Apr 05 03:47:22 UTC 2026","Github Environment Tests","","",""
"","292","fetch valid movie ","webkit","Sun Apr 05 03:47:14 UTC 2026","passed","Sun Apr 05 03:47:14 UTC 2026","API Tests","","",""
"","6527","element screenshot","webkit","Sun Apr 05 03:47:17 UTC 2026","passed","Sun Apr 05 03:47:23 UTC 2026","Visual Test","","",""
"","5788","Github Variables","webkit","Sun Apr 05 03:47:15 UTC 2026","passed","Sun Apr 05 03:47:21 UTC 2026","Github Environment Tests","","",""
"","10847","page image does not match","webkit","Sun Apr 05 03:47:14 UTC 2026","failed","Sun Apr 05 03:47:25 UTC 2026","UI E2E Tests - forced to fail","","",""
"","0","navigate to login page","webkit","Sun Apr 05 03:47:23 UTC 2026","skipped","Sun Apr 05 03:47:23 UTC 2026","Basic validations","","",""
"","364","invalid movie id - array & toContainEqual","firefox","Sun Apr 05 03:46:56 UTC 2026","passed","Sun Apr 05 03:46:56 UTC 2026","API Tests","","",""
"","3574","login - valid credentials","chromium","Sun Apr 05 03:46:52 UTC 2026","passed","Sun Apr 05 03:46:56 UTC 2026","Login","","",""
"","4971","element screenshot","chromium","Sun Apr 05 03:46:49 UTC 2026","passed","Sun Apr 05 03:46:54 UTC 2026","Visual Test","","",""
"","6581","special key press","webkit","Sun Apr 05 03:47:18 UTC 2026","passed","Sun Apr 05 03:47:25 UTC 2026","Key Presses","","",""
"","1","has title","webkit","Sun Apr 05 03:47:23 UTC 2026","skipped","Sun Apr 05 03:47:23 UTC 2026","Basic validations","","",""
"","11303","page screenshot","webkit","Sun Apr 05 03:47:17 UTC 2026","passed","Sun Apr 05 03:47:28 UTC 2026","Visual Test","","",""
"","8944","page image does not match","chromium","Sun Apr 05 03:46:48 UTC 2026","failed","Sun Apr 05 03:46:57 UTC 2026","UI E2E Tests - forced to fail","","",""
"","407","invalid movie id - json & toEqual","chromium","Sun Apr 05 03:46:47 UTC 2026","passed","Sun Apr 05 03:46:48 UTC 2026","API Tests","","",""
"","4","navigate to login page","firefox","Sun Apr 05 03:47:11 UTC 2026","skipped","Sun Apr 05 03:47:11 UTC 2026","Basic validations","","",""
"","12857","page screenshot","chromium","Sun Apr 05 03:46:49 UTC 2026","passed","Sun Apr 05 03:47:02 UTC 2026","Visual Test","","",""
"","262","non matching key value pair - array & toContainEqual","firefox","Sun Apr 05 03:46:56 UTC 2026","failed","Sun Apr 05 03:46:56 UTC 2026","API Tests - forced to fail","","",""
"","293","key does not exist - json & toEqual","webkit","Sun Apr 05 03:47:15 UTC 2026","failed","Sun Apr 05 03:47:16 UTC 2026","API Tests - forced to fail","","",""
"","4818","login - valid credentials","webkit","Sun Apr 05 03:47:22 UTC 2026","passed","Sun Apr 05 03:47:26 UTC 2026","Login","","",""
"","3018","common key press","chromium","Sun Apr 05 03:46:52 UTC 2026","passed","Sun Apr 05 03:46:55 UTC 2026","Key Presses","","",""
"","9258","Github Secrets","firefox","Sun Apr 05 03:46:58 UTC 2026","passed","Sun Apr 05 03:47:07 UTC 2026","Github Environment Tests","","",""
"","12072","element screenshot","firefox","Sun Apr 05 03:46:59 UTC 2026","passed","Sun Apr 05 03:47:11 UTC 2026","Visual Test","","",""
"","7954","Github Variables","firefox","Sun Apr 05 03:46:57 UTC 2026","passed","Sun Apr 05 03:47:05 UTC 2026","Github Environment Tests","","",""
"","468","status does not match","firefox","Sun Apr 05 03:46:57 UTC 2026","failed","Sun Apr 05 03:46:57 UTC 2026","API Tests - forced to fail","","",""
