"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9268","text does not match","chromium","Wed Nov 19 02:22:01 UTC 2025","failed","Wed Nov 19 02:22:11 UTC 2025","UI E2E Tests - forced to fail","","",""
"","203","key does not exist - json & toEqual","webkit","Wed Nov 19 02:22:28 UTC 2025","failed","Wed Nov 19 02:22:28 UTC 2025","API Tests - forced to fail","","",""
"","423","invalid movie id - array & toContainEqual","firefox","Wed Nov 19 02:22:11 UTC 2025","passed","Wed Nov 19 02:22:11 UTC 2025","API Tests","","",""
"","16167","page image does not match","firefox","Wed Nov 19 02:22:12 UTC 2025","failed","Wed Nov 19 02:22:28 UTC 2025","UI E2E Tests - forced to fail","","",""
"","10858","element image does not match","webkit","Wed Nov 19 02:22:29 UTC 2025","failed","Wed Nov 19 02:22:40 UTC 2025","UI E2E Tests - forced to fail","","",""
"","0","navigate to login page","chromium","Wed Nov 19 02:22:08 UTC 2025","skipped","Wed Nov 19 02:22:08 UTC 2025","Basic validations","","",""
"","5424","special key press","webkit","Wed Nov 19 02:22:32 UTC 2025","passed","Wed Nov 19 02:22:37 UTC 2025","Key Presses","","",""
"","5292","Github Secrets","chromium","Wed Nov 19 02:22:02 UTC 2025","passed","Wed Nov 19 02:22:07 UTC 2025","Github Environment Tests","","",""
"","5903","Github Variables","webkit","Wed Nov 19 02:22:30 UTC 2025","passed","Wed Nov 19 02:22:36 UTC 2025","Github Environment Tests","","",""
"","0","navigate to login page","webkit","Wed Nov 19 02:22:37 UTC 2025","skipped","Wed Nov 19 02:22:37 UTC 2025","Basic validations","","",""
"","417","status does not match","chromium","Wed Nov 19 02:22:01 UTC 2025","failed","Wed Nov 19 02:22:02 UTC 2025","API Tests - forced to fail","","",""
"","367","fetch valid movie ","webkit","Wed Nov 19 02:22:28 UTC 2025","passed","Wed Nov 19 02:22:28 UTC 2025","API Tests","","",""
"","356","invalid movie id - json & toEqual","chromium","Wed Nov 19 02:22:01 UTC 2025","passed","Wed Nov 19 02:22:02 UTC 2025","API Tests","","",""
"","2745","common key press","chromium","Wed Nov 19 02:22:07 UTC 2025","passed","Wed Nov 19 02:22:10 UTC 2025","Key Presses","","",""
"","5501","common key press","firefox","Wed Nov 19 02:22:19 UTC 2025","passed","Wed Nov 19 02:22:24 UTC 2025","Key Presses","","",""
"","10732","special key press","firefox","Wed Nov 19 02:22:19 UTC 2025","passed","Wed Nov 19 02:22:30 UTC 2025","Key Presses","","",""
"","315","fetch valid movie ","chromium","Wed Nov 19 02:22:01 UTC 2025","passed","Wed Nov 19 02:22:02 UTC 2025","API Tests","","",""
"","427","key does not exist - json & toEqual","firefox","Wed Nov 19 02:22:12 UTC 2025","failed","Wed Nov 19 02:22:12 UTC 2025","API Tests - forced to fail","","",""
"","372","invalid movie id - array & toContainEqual","webkit","Wed Nov 19 02:22:30 UTC 2025","passed","Wed Nov 19 02:22:30 UTC 2025","API Tests","","",""
"","14381","page screenshot","chromium","Wed Nov 19 02:22:02 UTC 2025","passed","Wed Nov 19 02:22:16 UTC 2025","Visual Test","","",""
"","360","invalid movie id - array & toContainEqual","chromium","Wed Nov 19 02:22:01 UTC 2025","passed","Wed Nov 19 02:22:02 UTC 2025","API Tests","","",""
"","9884","element image does not match","chromium","Wed Nov 19 02:22:01 UTC 2025","failed","Wed Nov 19 02:22:11 UTC 2025","UI E2E Tests - forced to fail","","",""
"","12721","element screenshot","firefox","Wed Nov 19 02:22:13 UTC 2025","passed","Wed Nov 19 02:22:26 UTC 2025","Visual Test","","",""
"","11962","page screenshot","webkit","Wed Nov 19 02:22:31 UTC 2025","passed","Wed Nov 19 02:22:43 UTC 2025","Visual Test","","",""
"","5119","Github Variables","chromium","Wed Nov 19 02:22:02 UTC 2025","passed","Wed Nov 19 02:22:07 UTC 2025","Github Environment Tests","","",""
"","10157","page image does not match","webkit","Wed Nov 19 02:22:30 UTC 2025","failed","Wed Nov 19 02:22:40 UTC 2025","UI E2E Tests - forced to fail","","",""
"","369","fetch valid movie ","firefox","Wed Nov 19 02:22:10 UTC 2025","passed","Wed Nov 19 02:22:10 UTC 2025","API Tests","","",""
"","9332","text does not match","webkit","Wed Nov 19 02:22:30 UTC 2025","failed","Wed Nov 19 02:22:39 UTC 2025","UI E2E Tests - forced to fail","","",""
"","295","invalid movie id - json & toEqual","firefox","Wed Nov 19 02:22:11 UTC 2025","passed","Wed Nov 19 02:22:12 UTC 2025","API Tests","","",""
"","5037","element screenshot","webkit","Wed Nov 19 02:22:32 UTC 2025","passed","Wed Nov 19 02:22:37 UTC 2025","Visual Test","","",""
"","6143","login - valid credentials","firefox","Wed Nov 19 02:22:20 UTC 2025","passed","Wed Nov 19 02:22:27 UTC 2025","Login","","",""
"","14731","page screenshot","firefox","Wed Nov 19 02:22:13 UTC 2025","passed","Wed Nov 19 02:22:28 UTC 2025","Visual Test","","",""
"","0","has title","chromium","Wed Nov 19 02:22:08 UTC 2025","skipped","Wed Nov 19 02:22:08 UTC 2025","Basic validations","","",""
"","456","non matching key value pair - array & toContainEqual","chromium","Wed Nov 19 02:22:01 UTC 2025","failed","Wed Nov 19 02:22:01 UTC 2025","API Tests - forced to fail","","",""
"","3830","common key press","webkit","Wed Nov 19 02:22:36 UTC 2025","passed","Wed Nov 19 02:22:40 UTC 2025","Key Presses","","",""
"","0","has title","webkit","Wed Nov 19 02:22:37 UTC 2025","skipped","Wed Nov 19 02:22:37 UTC 2025","Basic validations","","",""
"","236","status does not match","firefox","Wed Nov 19 02:22:10 UTC 2025","failed","Wed Nov 19 02:22:10 UTC 2025","API Tests - forced to fail","","",""
"","18154","element image does not match","firefox","Wed Nov 19 02:22:11 UTC 2025","failed","Wed Nov 19 02:22:29 UTC 2025","UI E2E Tests - forced to fail","","",""
"","7236","Github Variables","firefox","Wed Nov 19 02:22:12 UTC 2025","passed","Wed Nov 19 02:22:19 UTC 2025","Github Environment Tests","","",""
"","0","navigate to login page","firefox","Wed Nov 19 02:22:24 UTC 2025","skipped","Wed Nov 19 02:22:24 UTC 2025","Basic validations","","",""
"","6270","element screenshot","chromium","Wed Nov 19 02:22:02 UTC 2025","passed","Wed Nov 19 02:22:09 UTC 2025","Visual Test","","",""
"","346","non matching key value pair - array & toContainEqual","firefox","Wed Nov 19 02:22:12 UTC 2025","failed","Wed Nov 19 02:22:12 UTC 2025","API Tests - forced to fail","","",""
"","9053","page image does not match","chromium","Wed Nov 19 02:22:02 UTC 2025","failed","Wed Nov 19 02:22:11 UTC 2025","UI E2E Tests - forced to fail","","",""
"","6050","Github Secrets","webkit","Wed Nov 19 02:22:30 UTC 2025","passed","Wed Nov 19 02:22:36 UTC 2025","Github Environment Tests","","",""
"","2941","login - valid credentials","chromium","Wed Nov 19 02:22:07 UTC 2025","passed","Wed Nov 19 02:22:10 UTC 2025","Login","","",""
"","7906","Github Secrets","firefox","Wed Nov 19 02:22:12 UTC 2025","passed","Wed Nov 19 02:22:20 UTC 2025","Github Environment Tests","","",""
"","6068","special key press","chromium","Wed Nov 19 02:22:02 UTC 2025","passed","Wed Nov 19 02:22:08 UTC 2025","Key Presses","","",""
"","489","status does not match","webkit","Wed Nov 19 02:22:28 UTC 2025","failed","Wed Nov 19 02:22:28 UTC 2025","API Tests - forced to fail","","",""
"","357","non matching key value pair - array & toContainEqual","webkit","Wed Nov 19 02:22:31 UTC 2025","failed","Wed Nov 19 02:22:31 UTC 2025","API Tests - forced to fail","","",""
"","1","has title","firefox","Wed Nov 19 02:22:24 UTC 2025","skipped","Wed Nov 19 02:22:24 UTC 2025","Basic validations","","",""
"","4060","login - valid credentials","webkit","Wed Nov 19 02:22:36 UTC 2025","passed","Wed Nov 19 02:22:40 UTC 2025","Login","","",""
"","15058","text does not match","firefox","Wed Nov 19 02:22:12 UTC 2025","failed","Wed Nov 19 02:22:27 UTC 2025","UI E2E Tests - forced to fail","","",""
"","404","key does not exist - json & toEqual","chromium","Wed Nov 19 02:22:01 UTC 2025","failed","Wed Nov 19 02:22:02 UTC 2025","API Tests - forced to fail","","",""
"","346","invalid movie id - json & toEqual","webkit","Wed Nov 19 02:22:30 UTC 2025","passed","Wed Nov 19 02:22:31 UTC 2025","API Tests","","",""
