"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 08 01:42:33 GMT 2023","Sun Oct 08 01:42:33 GMT 2023","306","firefox","","API Tests","","","fetch valid movie ",""
"skipped","Sun Oct 08 01:43:35 GMT 2023","Sun Oct 08 01:43:35 GMT 2023","1","webkit","","Basic validations","","","has title",""
"passed","Sun Oct 08 01:42:55 GMT 2023","Sun Oct 08 01:43:16 GMT 2023","20901","firefox","","Visual Test","","","page screenshot",""
"failed","Sun Oct 08 01:43:11 GMT 2023","Sun Oct 08 01:43:12 GMT 2023","120","webkit","","API Tests - forced to fail","","","status does not match",""
"passed","Sun Oct 08 01:42:55 GMT 2023","Sun Oct 08 01:43:10 GMT 2023","15215","firefox","","Visual Test","","","element screenshot",""
"failed","Sun Oct 08 01:43:14 GMT 2023","Sun Oct 08 01:43:25 GMT 2023","11207","webkit","","UI E2E Tests - forced to fail","","","text does not match",""
"failed","Sun Oct 08 01:42:16 GMT 2023","Sun Oct 08 01:42:16 GMT 2023","235","chromium","","API Tests - forced to fail","","","status does not match",""
"passed","Sun Oct 08 01:42:27 GMT 2023","Sun Oct 08 01:42:32 GMT 2023","4749","chromium","","Key Presses","","","special key press",""
"failed","Sun Oct 08 01:42:16 GMT 2023","Sun Oct 08 01:42:17 GMT 2023","156","chromium","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Sun Oct 08 01:43:30 GMT 2023","Sun Oct 08 01:43:35 GMT 2023","4305","webkit","","Key Presses","","","common key press",""
"failed","Sun Oct 08 01:42:33 GMT 2023","Sun Oct 08 01:42:33 GMT 2023","162","firefox","","API Tests - forced to fail","","","status does not match",""
"passed","Sun Oct 08 01:43:15 GMT 2023","Sun Oct 08 01:43:16 GMT 2023","416","webkit","","API Tests","","","invalid movie id - json & toEqual",""
"failed","Sun Oct 08 01:42:34 GMT 2023","Sun Oct 08 01:42:34 GMT 2023","117","firefox","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Sun Oct 08 01:43:20 GMT 2023","Sun Oct 08 01:43:25 GMT 2023","5412","webkit","","Github Environment Tests","","","Github Secrets",""
"passed","Sun Oct 08 01:43:29 GMT 2023","Sun Oct 08 01:43:36 GMT 2023","6630","webkit","","Key Presses","","","special key press",""
"passed","Sun Oct 08 01:43:27 GMT 2023","Sun Oct 08 01:43:41 GMT 2023","13655","webkit","","Visual Test","","","page screenshot",""
"skipped","Sun Oct 08 01:43:35 GMT 2023","Sun Oct 08 01:43:35 GMT 2023","4","webkit","","Basic validations","","","navigate to login page",""
"failed","Sun Oct 08 01:43:16 GMT 2023","Sun Oct 08 01:43:26 GMT 2023","10426","webkit","","UI E2E Tests - forced to fail","","","element image does not match",""
"skipped","Sun Oct 08 01:43:04 GMT 2023","Sun Oct 08 01:43:04 GMT 2023","10","firefox","","Basic validations","","","navigate to login page",""
"failed","Sun Oct 08 01:42:17 GMT 2023","Sun Oct 08 01:42:25 GMT 2023","8290","chromium","","UI E2E Tests - forced to fail","","","text does not match",""
"passed","Sun Oct 08 01:42:45 GMT 2023","Sun Oct 08 01:42:55 GMT 2023","10067","firefox","","Github Environment Tests","","","Github Secrets",""
"skipped","Sun Oct 08 01:43:04 GMT 2023","Sun Oct 08 01:43:04 GMT 2023","5","firefox","","Basic validations","","","has title",""
"failed","Sun Oct 08 01:42:34 GMT 2023","Sun Oct 08 01:42:53 GMT 2023","18599","firefox","","UI E2E Tests - forced to fail","","","element image does not match",""
"passed","Sun Oct 08 01:42:52 GMT 2023","Sun Oct 08 01:43:03 GMT 2023","10871","firefox","","Github Environment Tests","","","Github Variables",""
"passed","Sun Oct 08 01:42:22 GMT 2023","Sun Oct 08 01:42:24 GMT 2023","1459","chromium","","Github Environment Tests","","","Github Variables",""
"passed","Sun Oct 08 01:42:27 GMT 2023","Sun Oct 08 01:42:41 GMT 2023","14830","chromium","","Visual Test","","","page screenshot",""
"passed","Sun Oct 08 01:42:26 GMT 2023","Sun Oct 08 01:42:30 GMT 2023","3529","chromium","","Login","","","login - valid credentials",""
"failed","Sun Oct 08 01:42:37 GMT 2023","Sun Oct 08 01:42:53 GMT 2023","16651","firefox","","UI E2E Tests - forced to fail","","","page image does not match",""
"passed","Sun Oct 08 01:43:11 GMT 2023","Sun Oct 08 01:43:11 GMT 2023","315","webkit","","API Tests","","","fetch valid movie ",""
"passed","Sun Oct 08 01:42:59 GMT 2023","Sun Oct 08 01:43:04 GMT 2023","5280","firefox","","Key Presses","","","common key press",""
"skipped","Sun Oct 08 01:42:30 GMT 2023","Sun Oct 08 01:42:30 GMT 2023","3","chromium","","Basic validations","","","navigate to login page",""
"passed","Sun Oct 08 01:42:16 GMT 2023","Sun Oct 08 01:42:17 GMT 2023","315","chromium","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Sun Oct 08 01:42:19 GMT 2023","Sun Oct 08 01:42:22 GMT 2023","3284","chromium","","Github Environment Tests","","","Github Secrets",""
"passed","Sun Oct 08 01:43:27 GMT 2023","Sun Oct 08 01:43:33 GMT 2023","6030","webkit","","Github Environment Tests","","","Github Variables",""
"passed","Sun Oct 08 01:42:33 GMT 2023","Sun Oct 08 01:42:34 GMT 2023","272","firefox","","API Tests","","","invalid movie id - array & toContainEqual",""
"failed","Sun Oct 08 01:43:16 GMT 2023","Sun Oct 08 01:43:16 GMT 2023","466","webkit","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"failed","Sun Oct 08 01:43:18 GMT 2023","Sun Oct 08 01:43:27 GMT 2023","8807","webkit","","UI E2E Tests - forced to fail","","","page image does not match",""
"passed","Sun Oct 08 01:42:16 GMT 2023","Sun Oct 08 01:42:17 GMT 2023","406","chromium","","API Tests","","","invalid movie id - array & toContainEqual",""
"skipped","Sun Oct 08 01:42:30 GMT 2023","Sun Oct 08 01:42:30 GMT 2023","34","chromium","","Basic validations","","","has title",""
"passed","Sun Oct 08 01:42:16 GMT 2023","Sun Oct 08 01:42:16 GMT 2023","271","chromium","","API Tests","","","fetch valid movie ",""
"passed","Sun Oct 08 01:42:24 GMT 2023","Sun Oct 08 01:42:26 GMT 2023","2407","chromium","","Visual Test","","","element screenshot",""
"passed","Sun Oct 08 01:42:34 GMT 2023","Sun Oct 08 01:42:34 GMT 2023","240","firefox","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Sun Oct 08 01:42:28 GMT 2023","Sun Oct 08 01:42:32 GMT 2023","4620","chromium","","Key Presses","","","common key press",""
"passed","Sun Oct 08 01:43:25 GMT 2023","Sun Oct 08 01:43:30 GMT 2023","5097","webkit","","Visual Test","","","element screenshot",""
"failed","Sun Oct 08 01:42:35 GMT 2023","Sun Oct 08 01:42:35 GMT 2023","315","firefox","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Sun Oct 08 01:43:14 GMT 2023","Sun Oct 08 01:43:14 GMT 2023","316","webkit","","API Tests","","","invalid movie id - array & toContainEqual",""
"failed","Sun Oct 08 01:42:18 GMT 2023","Sun Oct 08 01:42:26 GMT 2023","7850","chromium","","UI E2E Tests - forced to fail","","","page image does not match",""
