"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 16:54:01 GMT 2023","Sun Apr 23 16:54:01 GMT 2023","425","webkit","","API Tests","","","fetch valid movie ",""
"skipped","Sun Apr 23 16:54:18 GMT 2023","Sun Apr 23 16:54:18 GMT 2023","0","webkit","","Basic validations","","","navigate to login page",""
"passed","Sun Apr 23 16:53:27 GMT 2023","Sun Apr 23 16:53:30 GMT 2023","3212","chromium","","Key Presses","","","special key press",""
"passed","Sun Apr 23 16:53:25 GMT 2023","Sun Apr 23 16:53:35 GMT 2023","9762","chromium","","Visual Test","","","page screenshot",""
"passed","Sun Apr 23 16:53:52 GMT 2023","Sun Apr 23 16:54:02 GMT 2023","10278","firefox","","Key Presses","","","common key press",""
"failed","Sun Apr 23 16:53:20 GMT 2023","Sun Apr 23 16:53:28 GMT 2023","8012","chromium","","UI E2E Tests - forced to fail","","","page image does not match",""
"skipped","Sun Apr 23 16:53:30 GMT 2023","Sun Apr 23 16:53:30 GMT 2023","1","chromium","","Basic validations","","","navigate to login page",""
"passed","Sun Apr 23 16:53:33 GMT 2023","Sun Apr 23 16:53:33 GMT 2023","218","firefox","","API Tests","","","invalid movie id - array & toContainEqual",""
"passed","Sun Apr 23 16:53:26 GMT 2023","Sun Apr 23 16:53:29 GMT 2023","3020","chromium","","Visual Test","","","element screenshot",""
"failed","Sun Apr 23 16:53:20 GMT 2023","Sun Apr 23 16:53:21 GMT 2023","214","chromium","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"failed","Sun Apr 23 16:53:34 GMT 2023","Sun Apr 23 16:53:34 GMT 2023","209","firefox","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"failed","Sun Apr 23 16:53:34 GMT 2023","Sun Apr 23 16:53:34 GMT 2023","249","firefox","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"failed","Sun Apr 23 16:54:05 GMT 2023","Sun Apr 23 16:54:12 GMT 2023","6720","webkit","","UI E2E Tests - forced to fail","","","element image does not match",""
"failed","Sun Apr 23 16:54:01 GMT 2023","Sun Apr 23 16:54:01 GMT 2023","115","webkit","","API Tests - forced to fail","","","status does not match",""
"skipped","Sun Apr 23 16:53:55 GMT 2023","Sun Apr 23 16:53:55 GMT 2023","1","firefox","","Basic validations","","","navigate to login page",""
"passed","Sun Apr 23 16:53:51 GMT 2023","Sun Apr 23 16:54:01 GMT 2023","9678","firefox","","Key Presses","","","special key press",""
"failed","Sun Apr 23 16:53:19 GMT 2023","Sun Apr 23 16:53:25 GMT 2023","6545","chromium","","UI E2E Tests - forced to fail","","","element image does not match",""
"passed","Sun Apr 23 16:53:18 GMT 2023","Sun Apr 23 16:53:19 GMT 2023","321","chromium","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Sun Apr 23 16:53:22 GMT 2023","Sun Apr 23 16:53:24 GMT 2023","2237","chromium","","Github Environment Tests","","","Github Secrets",""
"passed","Sun Apr 23 16:54:16 GMT 2023","Sun Apr 23 16:54:19 GMT 2023","3263","webkit","","Login","","","login - valid credentials",""
"passed","Sun Apr 23 16:53:54 GMT 2023","Sun Apr 23 16:53:59 GMT 2023","5046","firefox","","Login","","","login - valid credentials",""
"failed","Sun Apr 23 16:53:35 GMT 2023","Sun Apr 23 16:53:50 GMT 2023","14381","firefox","","UI E2E Tests - forced to fail","","","page image does not match",""
"failed","Sun Apr 23 16:53:33 GMT 2023","Sun Apr 23 16:53:45 GMT 2023","11732","firefox","","UI E2E Tests - forced to fail","","","text does not match",""
"passed","Sun Apr 23 16:54:04 GMT 2023","Sun Apr 23 16:54:04 GMT 2023","171","webkit","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Sun Apr 23 16:54:03 GMT 2023","Sun Apr 23 16:54:03 GMT 2023","244","webkit","","API Tests","","","invalid movie id - array & toContainEqual",""
"passed","Sun Apr 23 16:53:32 GMT 2023","Sun Apr 23 16:53:32 GMT 2023","95","firefox","","API Tests","","","invalid movie id - json & toEqual",""
"failed","Sun Apr 23 16:53:18 GMT 2023","Sun Apr 23 16:53:19 GMT 2023","342","chromium","","API Tests - forced to fail","","","status does not match",""
"passed","Sun Apr 23 16:54:10 GMT 2023","Sun Apr 23 16:54:12 GMT 2023","2001","webkit","","Github Environment Tests","","","Github Variables",""
"passed","Sun Apr 23 16:53:29 GMT 2023","Sun Apr 23 16:53:31 GMT 2023","2264","chromium","","Login","","","login - valid credentials",""
"failed","Sun Apr 23 16:53:35 GMT 2023","Sun Apr 23 16:53:50 GMT 2023","15034","firefox","","UI E2E Tests - forced to fail","","","element image does not match",""
"skipped","Sun Apr 23 16:53:55 GMT 2023","Sun Apr 23 16:53:55 GMT 2023","1","firefox","","Basic validations","","","has title",""
"passed","Sun Apr 23 16:53:30 GMT 2023","Sun Apr 23 16:53:33 GMT 2023","2885","chromium","","Key Presses","","","common key press",""
"skipped","Sun Apr 23 16:54:18 GMT 2023","Sun Apr 23 16:54:18 GMT 2023","1","webkit","","Basic validations","","","has title",""
