"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10397","text does not match","webkit","Sun Apr 13 03:38:41 GMT 2025","failed","Sun Apr 13 03:38:51 GMT 2025","UI E2E Tests - forced to fail","","",""
"","269","status does not match","webkit","Sun Apr 13 03:38:42 GMT 2025","failed","Sun Apr 13 03:38:42 GMT 2025","API Tests - forced to fail","","",""
"","303","invalid movie id - json & toEqual","chromium","Sun Apr 13 03:38:12 GMT 2025","passed","Sun Apr 13 03:38:12 GMT 2025","API Tests","","",""
"","12097","page screenshot","webkit","Sun Apr 13 03:38:42 GMT 2025","passed","Sun Apr 13 03:38:54 GMT 2025","Visual Test","","",""
"","10449","element image does not match","chromium","Sun Apr 13 03:38:12 GMT 2025","failed","Sun Apr 13 03:38:22 GMT 2025","UI E2E Tests - forced to fail","","",""
"","390","key does not exist - json & toEqual","firefox","Sun Apr 13 03:38:23 GMT 2025","failed","Sun Apr 13 03:38:23 GMT 2025","API Tests - forced to fail","","",""
"","9873","page image does not match","chromium","Sun Apr 13 03:38:13 GMT 2025","failed","Sun Apr 13 03:38:23 GMT 2025","UI E2E Tests - forced to fail","","",""
"","6590","special key press","chromium","Sun Apr 13 03:38:13 GMT 2025","passed","Sun Apr 13 03:38:20 GMT 2025","Key Presses","","",""
"","498","key does not exist - json & toEqual","chromium","Sun Apr 13 03:38:12 GMT 2025","failed","Sun Apr 13 03:38:12 GMT 2025","API Tests - forced to fail","","",""
"","5496","common key press","firefox","Sun Apr 13 03:38:29 GMT 2025","passed","Sun Apr 13 03:38:34 GMT 2025","Key Presses","","",""
"","1","navigate to login page","webkit","Sun Apr 13 03:38:48 GMT 2025","skipped","Sun Apr 13 03:38:48 GMT 2025","Basic validations","","",""
"","17765","element image does not match","firefox","Sun Apr 13 03:38:23 GMT 2025","failed","Sun Apr 13 03:38:41 GMT 2025","UI E2E Tests - forced to fail","","",""
"","5663","login - valid credentials","firefox","Sun Apr 13 03:38:34 GMT 2025","passed","Sun Apr 13 03:38:39 GMT 2025","Login","","",""
"","432","invalid movie id - json & toEqual","webkit","Sun Apr 13 03:38:39 GMT 2025","passed","Sun Apr 13 03:38:39 GMT 2025","API Tests","","",""
"","11516","special key press","firefox","Sun Apr 13 03:38:28 GMT 2025","passed","Sun Apr 13 03:38:40 GMT 2025","Key Presses","","",""
"","249","non matching key value pair - array & toContainEqual","webkit","Sun Apr 13 03:38:39 GMT 2025","failed","Sun Apr 13 03:38:40 GMT 2025","API Tests - forced to fail","","",""
"","422","invalid movie id - json & toEqual","firefox","Sun Apr 13 03:38:22 GMT 2025","passed","Sun Apr 13 03:38:23 GMT 2025","API Tests","","",""
"","0","has title","firefox","Sun Apr 13 03:38:34 GMT 2025","skipped","Sun Apr 13 03:38:34 GMT 2025","Basic validations","","",""
"","9226","page image does not match","webkit","Sun Apr 13 03:38:42 GMT 2025","failed","Sun Apr 13 03:38:52 GMT 2025","UI E2E Tests - forced to fail","","",""
