"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun May 19 01:47:12 GMT 2024","Sun May 19 01:47:12 GMT 2024","1","firefox","","Basic validations","","","has title",""
"passed","Sun May 19 01:47:00 GMT 2024","Sun May 19 01:47:11 GMT 2024","11557","firefox","","Visual Test","","","element screenshot",""
"passed","Sun May 19 01:46:54 GMT 2024","Sun May 19 01:46:57 GMT 2024","3109","chromium","","Github Environment Tests","","","Github Variables",""
"failed","Sun May 19 01:46:53 GMT 2024","Sun May 19 01:47:00 GMT 2024","6821","chromium","","UI E2E Tests - forced to fail","","","page image does not match",""
"failed","Sun May 19 01:46:59 GMT 2024","Sun May 19 01:47:00 GMT 2024","89","firefox","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"failed","Sun May 19 01:46:59 GMT 2024","Sun May 19 01:47:00 GMT 2024","162","firefox","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"failed","Sun May 19 01:47:18 GMT 2024","Sun May 19 01:47:28 GMT 2024","9816","webkit","","UI E2E Tests - forced to fail","","","text does not match",""
"passed","Sun May 19 01:47:02 GMT 2024","Sun May 19 01:47:09 GMT 2024","7797","firefox","","Github Environment Tests","","","Github Variables",""
"passed","Sun May 19 01:47:00 GMT 2024","Sun May 19 01:47:00 GMT 2024","224","firefox","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Sun May 19 01:47:18 GMT 2024","Sun May 19 01:47:18 GMT 2024","270","webkit","","API Tests","","","invalid movie id - array & toContainEqual",""
"passed","Sun May 19 01:47:21 GMT 2024","Sun May 19 01:47:26 GMT 2024","4704","webkit","","Github Environment Tests","","","Github Variables",""
"failed","Sun May 19 01:47:01 GMT 2024","Sun May 19 01:47:16 GMT 2024","15707","firefox","","UI E2E Tests - forced to fail","","","element image does not match",""
"passed","Sun May 19 01:47:25 GMT 2024","Sun May 19 01:47:28 GMT 2024","2573","webkit","","Key Presses","","","common key press",""
