"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 24 02:01:31 GMT 2023","Wed May 24 02:01:31 GMT 2023","273","firefox","","API Tests","","","fetch valid movie ",""
"failed","Wed May 24 02:01:31 GMT 2023","Wed May 24 02:01:31 GMT 2023","140","firefox","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Wed May 24 02:01:47 GMT 2023","Wed May 24 02:01:50 GMT 2023","2904","firefox","","Github Environment Tests","","","Github Variables",""
"passed","Wed May 24 02:01:26 GMT 2023","Wed May 24 02:01:30 GMT 2023","3717","chromium","","Login","","","login - valid credentials",""
"passed","Wed May 24 02:01:13 GMT 2023","Wed May 24 02:01:13 GMT 2023","412","chromium","","API Tests","","","fetch valid movie ",""
"failed","Wed May 24 02:02:12 GMT 2023","Wed May 24 02:02:20 GMT 2023","8401","webkit","","UI E2E Tests - forced to fail","","","element image does not match",""
"passed","Wed May 24 02:02:08 GMT 2023","Wed May 24 02:02:09 GMT 2023","549","webkit","","API Tests","","","invalid movie id - array & toContainEqual",""
"passed","Wed May 24 02:02:21 GMT 2023","Wed May 24 02:02:26 GMT 2023","5525","webkit","","Github Environment Tests","","","Github Variables",""
"skipped","Wed May 24 02:01:28 GMT 2023","Wed May 24 02:01:28 GMT 2023","2","chromium","","Basic validations","","","navigate to login page",""
"passed","Wed May 24 02:01:24 GMT 2023","Wed May 24 02:01:28 GMT 2023","4472","chromium","","Key Presses","","","special key press",""
"skipped","Wed May 24 02:01:28 GMT 2023","Wed May 24 02:01:28 GMT 2023","3","chromium","","Basic validations","","","has title",""
"failed","Wed May 24 02:01:31 GMT 2023","Wed May 24 02:01:31 GMT 2023","134","firefox","","API Tests - forced to fail","","","status does not match",""
"passed","Wed May 24 02:02:26 GMT 2023","Wed May 24 02:02:30 GMT 2023","4236","webkit","","Login","","","login - valid credentials",""
"failed","Wed May 24 02:02:07 GMT 2023","Wed May 24 02:02:08 GMT 2023","228","webkit","","API Tests - forced to fail","","","status does not match",""
"failed","Wed May 24 02:02:10 GMT 2023","Wed May 24 02:02:10 GMT 2023","369","webkit","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"failed","Wed May 24 02:02:12 GMT 2023","Wed May 24 02:02:12 GMT 2023","238","webkit","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Wed May 24 02:01:22 GMT 2023","Wed May 24 02:01:25 GMT 2023","3363","chromium","","Github Environment Tests","","","Github Variables",""
"passed","Wed May 24 02:02:24 GMT 2023","Wed May 24 02:02:29 GMT 2023","5397","webkit","","Key Presses","","","special key press",""
"failed","Wed May 24 02:01:13 GMT 2023","Wed May 24 02:01:20 GMT 2023","6624","chromium","","UI E2E Tests - forced to fail","","","element image does not match",""
"failed","Wed May 24 02:01:32 GMT 2023","Wed May 24 02:01:50 GMT 2023","17900","firefox","","UI E2E Tests - forced to fail","","","page image does not match",""
"failed","Wed May 24 02:01:13 GMT 2023","Wed May 24 02:01:13 GMT 2023","192","chromium","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Wed May 24 02:01:50 GMT 2023","Wed May 24 02:01:54 GMT 2023","4082","firefox","","Key Presses","","","special key press",""
"failed","Wed May 24 02:01:33 GMT 2023","Wed May 24 02:01:33 GMT 2023","371","firefox","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Wed May 24 02:02:22 GMT 2023","Wed May 24 02:02:34 GMT 2023","11409","webkit","","Visual Test","","","page screenshot",""
"passed","Wed May 24 02:01:32 GMT 2023","Wed May 24 02:01:32 GMT 2023","298","firefox","","API Tests","","","invalid movie id - json & toEqual",""
"failed","Wed May 24 02:02:09 GMT 2023","Wed May 24 02:02:19 GMT 2023","9808","webkit","","UI E2E Tests - forced to fail","","","text does not match",""
"skipped","Wed May 24 02:02:27 GMT 2023","Wed May 24 02:02:27 GMT 2023","0","webkit","","Basic validations","","","navigate to login page",""
"skipped","Wed May 24 02:02:00 GMT 2023","Wed May 24 02:02:00 GMT 2023","1","firefox","","Basic validations","","","has title",""
"passed","Wed May 24 02:02:19 GMT 2023","Wed May 24 02:02:23 GMT 2023","3569","webkit","","Visual Test","","","element screenshot",""
"failed","Wed May 24 02:01:15 GMT 2023","Wed May 24 02:01:16 GMT 2023","553","chromium","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"failed","Wed May 24 02:01:15 GMT 2023","Wed May 24 02:01:22 GMT 2023","6460","chromium","","UI E2E Tests - forced to fail","","","page image does not match",""
"passed","Wed May 24 02:01:30 GMT 2023","Wed May 24 02:01:31 GMT 2023","274","firefox","","API Tests","","","invalid movie id - array & toContainEqual",""
"failed","Wed May 24 02:01:13 GMT 2023","Wed May 24 02:01:20 GMT 2023","6652","chromium","","UI E2E Tests - forced to fail","","","text does not match",""
"passed","Wed May 24 02:01:13 GMT 2023","Wed May 24 02:01:13 GMT 2023","482","chromium","","API Tests","","","invalid movie id - json & toEqual",""
"failed","Wed May 24 02:01:32 GMT 2023","Wed May 24 02:01:48 GMT 2023","15454","firefox","","UI E2E Tests - forced to fail","","","text does not match",""
"passed","Wed May 24 02:01:17 GMT 2023","Wed May 24 02:01:20 GMT 2023","2633","chromium","","Github Environment Tests","","","Github Secrets",""
"skipped","Wed May 24 02:02:00 GMT 2023","Wed May 24 02:02:00 GMT 2023","1","firefox","","Basic validations","","","navigate to login page",""
"skipped","Wed May 24 02:02:27 GMT 2023","Wed May 24 02:02:27 GMT 2023","0","webkit","","Basic validations","","","has title",""
"failed","Wed May 24 02:01:13 GMT 2023","Wed May 24 02:01:13 GMT 2023","411","chromium","","API Tests - forced to fail","","","status does not match",""
"passed","Wed May 24 02:01:25 GMT 2023","Wed May 24 02:01:29 GMT 2023","3242","chromium","","Key Presses","","","common key press",""
"passed","Wed May 24 02:02:07 GMT 2023","Wed May 24 02:02:07 GMT 2023","210","webkit","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Wed May 24 02:02:07 GMT 2023","Wed May 24 02:02:07 GMT 2023","517","webkit","","API Tests","","","fetch valid movie ",""
"passed","Wed May 24 02:02:23 GMT 2023","Wed May 24 02:02:27 GMT 2023","4155","webkit","","Key Presses","","","common key press",""
"passed","Wed May 24 02:01:53 GMT 2023","Wed May 24 02:02:08 GMT 2023","14835","firefox","","Key Presses","","","common key press",""
"failed","Wed May 24 02:02:14 GMT 2023","Wed May 24 02:02:22 GMT 2023","8013","webkit","","UI E2E Tests - forced to fail","","","page image does not match",""
"failed","Wed May 24 02:01:33 GMT 2023","Wed May 24 02:01:51 GMT 2023","17732","firefox","","UI E2E Tests - forced to fail","","","element image does not match",""
"passed","Wed May 24 02:01:35 GMT 2023","Wed May 24 02:01:47 GMT 2023","12623","firefox","","Github Environment Tests","","","Github Secrets",""
"passed","Wed May 24 02:01:54 GMT 2023","Wed May 24 02:02:00 GMT 2023","6073","firefox","","Login","","","login - valid credentials",""
"passed","Wed May 24 02:01:52 GMT 2023","Wed May 24 02:02:11 GMT 2023","19016","firefox","","Visual Test","","","page screenshot",""
"passed","Wed May 24 02:02:14 GMT 2023","Wed May 24 02:02:19 GMT 2023","5239","webkit","","Github Environment Tests","","","Github Secrets",""
"passed","Wed May 24 02:01:13 GMT 2023","Wed May 24 02:01:13 GMT 2023","449","chromium","","API Tests","","","invalid movie id - array & toContainEqual",""
"passed","Wed May 24 02:01:22 GMT 2023","Wed May 24 02:01:26 GMT 2023","4485","chromium","","Visual Test","","","element screenshot",""
"failed","Wed May 24 02:01:20 GMT 2023","Wed May 24 02:01:31 GMT 2023","11341","chromium","","Visual Test","","","page screenshot",""
"passed","Wed May 24 02:01:50 GMT 2023","Wed May 24 02:02:04 GMT 2023","13588","firefox","","Visual Test","","","element screenshot",""
