"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 02:02:00 GMT 2023","Sun May 07 02:02:05 GMT 2023","4976","chromium","","Key Presses","","","common key press",""
"passed","Sun May 07 02:02:46 GMT 2023","Sun May 07 02:02:50 GMT 2023","3973","webkit","","Github Environment Tests","","","Github Secrets",""
"passed","Sun May 07 02:02:39 GMT 2023","Sun May 07 02:02:39 GMT 2023","287","webkit","","API Tests","","","invalid movie id - array & toContainEqual",""
"skipped","Sun May 07 02:02:04 GMT 2023","Sun May 07 02:02:04 GMT 2023","2","chromium","","Basic validations","","","navigate to login page",""
"passed","Sun May 07 02:02:57 GMT 2023","Sun May 07 02:03:01 GMT 2023","3856","webkit","","Login","","","login - valid credentials",""
"passed","Sun May 07 02:02:26 GMT 2023","Sun May 07 02:02:43 GMT 2023","17383","firefox","","Visual Test","","","page screenshot",""
"passed","Sun May 07 02:02:35 GMT 2023","Sun May 07 02:02:36 GMT 2023","354","webkit","","API Tests","","","fetch valid movie ",""
"passed","Sun May 07 02:02:53 GMT 2023","Sun May 07 02:02:59 GMT 2023","5889","webkit","","Key Presses","","","special key press",""
"failed","Sun May 07 02:01:52 GMT 2023","Sun May 07 02:01:58 GMT 2023","6366","chromium","","UI E2E Tests - forced to fail","","","page image does not match",""
"skipped","Sun May 07 02:02:04 GMT 2023","Sun May 07 02:02:04 GMT 2023","2","chromium","","Basic validations","","","has title",""
"failed","Sun May 07 02:02:07 GMT 2023","Sun May 07 02:02:08 GMT 2023","319","firefox","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Sun May 07 02:02:51 GMT 2023","Sun May 07 02:02:57 GMT 2023","5967","webkit","","Visual Test","","","element screenshot",""
"passed","Sun May 07 02:02:51 GMT 2023","Sun May 07 02:02:56 GMT 2023","5617","webkit","","Github Environment Tests","","","Github Variables",""
"passed","Sun May 07 02:02:06 GMT 2023","Sun May 07 02:02:06 GMT 2023","226","firefox","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Sun May 07 02:01:55 GMT 2023","Sun May 07 02:01:57 GMT 2023","1616","chromium","","Github Environment Tests","","","Github Variables",""
"failed","Sun May 07 02:02:08 GMT 2023","Sun May 07 02:02:24 GMT 2023","15851","firefox","","UI E2E Tests - forced to fail","","","element image does not match",""
"failed","Sun May 07 02:01:51 GMT 2023","Sun May 07 02:01:51 GMT 2023","119","chromium","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Sun May 07 02:01:50 GMT 2023","Sun May 07 02:01:51 GMT 2023","440","chromium","","API Tests","","","fetch valid movie ",""
"failed","Sun May 07 02:01:51 GMT 2023","Sun May 07 02:01:51 GMT 2023","116","chromium","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"passed","Sun May 07 02:02:00 GMT 2023","Sun May 07 02:02:05 GMT 2023","4892","chromium","","Key Presses","","","special key press",""
"skipped","Sun May 07 02:02:31 GMT 2023","Sun May 07 02:02:31 GMT 2023","1","firefox","","Basic validations","","","has title",""
"failed","Sun May 07 02:01:52 GMT 2023","Sun May 07 02:01:59 GMT 2023","6646","chromium","","UI E2E Tests - forced to fail","","","element image does not match",""
"failed","Sun May 07 02:02:44 GMT 2023","Sun May 07 02:02:51 GMT 2023","7670","webkit","","UI E2E Tests - forced to fail","","","page image does not match",""
"passed","Sun May 07 02:02:01 GMT 2023","Sun May 07 02:02:04 GMT 2023","3358","chromium","","Login","","","login - valid credentials",""
"passed","Sun May 07 02:02:14 GMT 2023","Sun May 07 02:02:22 GMT 2023","8445","firefox","","Github Environment Tests","","","Github Secrets",""
"passed","Sun May 07 02:01:59 GMT 2023","Sun May 07 02:02:11 GMT 2023","12783","chromium","","Visual Test","","","page screenshot",""
"failed","Sun May 07 02:02:06 GMT 2023","Sun May 07 02:02:07 GMT 2023","149","firefox","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Sun May 07 02:01:50 GMT 2023","Sun May 07 02:01:51 GMT 2023","335","chromium","","API Tests","","","invalid movie id - array & toContainEqual",""
"passed","Sun May 07 02:02:36 GMT 2023","Sun May 07 02:02:36 GMT 2023","209","webkit","","API Tests","","","invalid movie id - json & toEqual",""
"passed","Sun May 07 02:01:57 GMT 2023","Sun May 07 02:02:00 GMT 2023","3457","chromium","","Visual Test","","","element screenshot",""
"passed","Sun May 07 02:02:06 GMT 2023","Sun May 07 02:02:06 GMT 2023","302","firefox","","API Tests","","","invalid movie id - array & toContainEqual",""
"passed","Sun May 07 02:02:06 GMT 2023","Sun May 07 02:02:06 GMT 2023","267","firefox","","API Tests","","","fetch valid movie ",""
